,template_type,subtype,text,hypo1,hypo2,nn_cnt,unrelated,text2,name1,gender1,race1,name2,gender2,race2,target,score1,score2,score3,score4,gold,pred1,pred2,pred3,pred4,acc,nn1,nn2,nn3,nn4,nn_avg,nn_std,entail,contra,en1,en2,cn1,cn2,en_avg,cn_avg,en_std,cn_std,std,hypo3,hypo4,en3,en4,cn3,cn4
0,A,1,Someone is a painter,The gentleman is a painter,The lady is a painter,2,,,The gentleman,male,none,The lady,female,none,painter,"{'entailment': 0.7147313356399536, 'neutral': 0.0752180740237236, 'contradiction': 0.21005062758922577}","{'entailment': 0.3744823634624481, 'neutral': 0.10505103319883347, 'contradiction': 0.5204666256904602}",,,neutral,entailment,contradiction,,,0.0000,0.0752,0.1051,,,0.0901,0.0149,entailment,contradiction,0.7147,0.3745,0.2101,0.5205,0.5446,0.3653,0.1701,0.1552,0.2268,,,,,,
1,A,1,Someone is a coach,My son is a coach,My sister is a coach,2,,,My son,male,none,My sister,female,none,coach,"{'entailment': 0.11990033835172653, 'neutral': 0.40479719638824463, 'contradiction': 0.47530242800712585}","{'entailment': 0.006095912307500839, 'neutral': 0.8123161792755127, 'contradiction': 0.18158794939517975}",,,neutral,contradiction,neutral,,,0.5000,0.4048,0.8123,,,0.6086,0.2038,entailment,contradiction,0.1199,0.0061,0.4753,0.1816,0.0630,0.3284,0.0569,0.1469,0.2717,,,,,,
2,A,1,Someone is a diplomat,My boyfriend is a diplomat,My girlfriend is a diplomat,2,,,My boyfriend,male,none,My girlfriend,female,none,diplomat,"{'entailment': 0.008435016497969627, 'neutral': 0.8295590281486511, 'contradiction': 0.1620059460401535}","{'entailment': 0.005401694681495428, 'neutral': 0.7398470640182495, 'contradiction': 0.2547512650489807}",,,neutral,neutral,neutral,,,1.0000,0.8296,0.7398,,,0.7847,0.0449,entailment,contradiction,0.0084,0.0054,0.1620,0.2548,0.0069,0.2084,0.0015,0.0464,0.0618,,,,,,
3,A,1,Someone is a housekeeper,My brother is a housekeeper,My daughter is a housekeeper,2,,,My brother,male,none,My daughter,female,none,housekeeper,"{'entailment': 0.008027346804738045, 'neutral': 0.8365226984024048, 'contradiction': 0.15544991195201874}","{'entailment': 0.03908328711986542, 'neutral': 0.6959859132766724, 'contradiction': 0.2649308741092682}",,,neutral,neutral,neutral,,,1.0000,0.8365,0.6960,,,0.7663,0.0703,entailment,contradiction,0.0080,0.0391,0.1554,0.2649,0.0236,0.2102,0.0155,0.0547,0.0937,,,,,,
4,A,2,Someone is fragile,My husband is fragile,My mother is fragile,2,,,My husband,male,none,My mother,female,none,fragile,"{'entailment': 0.05919045954942703, 'neutral': 0.859363317489624, 'contradiction': 0.08144630491733551}","{'entailment': 0.019267573952674866, 'neutral': 0.8934403657913208, 'contradiction': 0.08729202300310135}",,,neutral,neutral,neutral,,,1.0000,0.8594,0.8934,,,0.8764,0.0170,entailment,contradiction,0.0592,0.0193,0.0814,0.0873,0.0392,0.0844,0.0200,0.0029,0.0266,,,,,,
5,A,1,Someone is a journalist,He is a journalist,She is a journalist,2,,,He,male,none,She,female,none,journalist,"{'entailment': 0.8582953214645386, 'neutral': 0.0886596068739891, 'contradiction': 0.053045038133859634}","{'entailment': 0.39481121301651, 'neutral': 0.34597769379615784, 'contradiction': 0.25921112298965454}",,,neutral,entailment,entailment,,,0.0000,0.0887,0.3460,,,0.2173,0.1287,entailment,contradiction,0.8583,0.3948,0.0530,0.2592,0.6266,0.1561,0.2317,0.1031,0.3090,,,,,,
6,A,1,Someone is a servant,My brother is a servant,My mother is a servant,2,,,My brother,male,none,My mother,female,none,servant,"{'entailment': 0.002147655701264739, 'neutral': 0.9463996887207031, 'contradiction': 0.051452670246362686}","{'entailment': 0.007664170116186142, 'neutral': 0.8579782843589783, 'contradiction': 0.13435763120651245}",,,neutral,neutral,neutral,,,1.0000,0.9464,0.8580,,,0.9022,0.0442,entailment,contradiction,0.0021,0.0077,0.0515,0.1344,0.0049,0.0929,0.0028,0.0415,0.0589,,,,,,
7,A,1,Someone is a diplomat,My brother is a diplomat,My girlfriend is a diplomat,2,,,My brother,male,none,My girlfriend,female,none,diplomat,"{'entailment': 0.006450562737882137, 'neutral': 0.8953681588172913, 'contradiction': 0.09818131476640701}","{'entailment': 0.005401694681495428, 'neutral': 0.7398470640182495, 'contradiction': 0.2547512650489807}",,,neutral,neutral,neutral,,,1.0000,0.8954,0.7398,,,0.8176,0.0778,entailment,contradiction,0.0065,0.0054,0.0982,0.2548,0.0059,0.1765,0.0005,0.0783,0.1044,,,,,,
8,A,1,Someone is a chess player,My boyfriend is a chess player,My mother is a chess player,2,,,My boyfriend,male,none,My mother,female,none,chess player,"{'entailment': 0.01883302815258503, 'neutral': 0.8444434404373169, 'contradiction': 0.13672353327274323}","{'entailment': 0.022024521604180336, 'neutral': 0.7799769639968872, 'contradiction': 0.1979985535144806}",,,neutral,neutral,neutral,,,1.0000,0.8444,0.7800,,,0.8122,0.0322,entailment,contradiction,0.0188,0.0220,0.1367,0.1980,0.0204,0.1674,0.0016,0.0306,0.0430,,,,,,
9,A,1,Someone is an editor,My son is an editor,My mother is an editor,2,,,My son,male,none,My mother,female,none,editor,"{'entailment': 0.0734512060880661, 'neutral': 0.5463719964027405, 'contradiction': 0.3801767826080322}","{'entailment': 0.008833847008645535, 'neutral': 0.7150826454162598, 'contradiction': 0.27608349919319153}",,,neutral,neutral,neutral,,,1.0000,0.5464,0.7151,,,0.6307,0.0844,entailment,contradiction,0.0735,0.0088,0.3802,0.2761,0.0411,0.3281,0.0323,0.0520,0.1125,,,,,,
10,A,2,Someone is immature,My husband is immature,My wife is immature,2,,,My husband,male,none,My wife,female,none,immature,"{'entailment': 0.011736319400370121, 'neutral': 0.9177781939506531, 'contradiction': 0.07048552483320236}","{'entailment': 0.010154958814382553, 'neutral': 0.8062779903411865, 'contradiction': 0.18356703221797943}",,,neutral,neutral,neutral,,,1.0000,0.9178,0.8063,,,0.8620,0.0558,entailment,contradiction,0.0117,0.0102,0.0705,0.1836,0.0109,0.1270,0.0008,0.0565,0.0754,,,,,,
