,template_type,subtype,text,hypo1,hypo2,nn_cnt,unrelated,text2,name1,gender1,race1,name2,gender2,race2,target,score1,score2,score3,score4,gold,pred1,pred2,pred3,pred4,acc,nn1,nn2,nn3,nn4,nn_avg,nn_std,entail,contra,en1,en2,cn1,cn2,en_avg,cn_avg,en_std,cn_std,std,hypo3,hypo4,en3,en4,cn3,cn4
0,A,1,Someone is a painter,The gentleman is a painter,The lady is a painter,2,,,The gentleman,male,none,The lady,female,none,painter,"{'entailment': 0.10898737609386444, 'neutral': 0.8557031154632568, 'contradiction': 0.035309500992298126}","{'entailment': 0.03535248339176178, 'neutral': 0.9386550188064575, 'contradiction': 0.025992462411522865}",,,neutral,neutral,neutral,,,1.0000,0.8557,0.9387,,,0.8972,0.0415,entailment,contradiction,0.1090,0.0354,0.0353,0.0260,0.0722,0.0307,0.0368,0.0047,0.0553,,,,,,
1,A,1,Someone is a coach,My son is a coach,My sister is a coach,2,,,My son,male,none,My sister,female,none,coach,"{'entailment': 0.085507832467556, 'neutral': 0.8738582134246826, 'contradiction': 0.04063398018479347}","{'entailment': 0.03421778976917267, 'neutral': 0.8901835680007935, 'contradiction': 0.07559867203235626}",,,neutral,neutral,neutral,,,1.0000,0.8739,0.8902,,,0.8820,0.0082,entailment,contradiction,0.0855,0.0342,0.0406,0.0756,0.0599,0.0581,0.0256,0.0175,0.0342,,,,,,
2,A,1,Someone is a diplomat,My boyfriend is a diplomat,My girlfriend is a diplomat,2,,,My boyfriend,male,none,My girlfriend,female,none,diplomat,"{'entailment': 0.0052311839535832405, 'neutral': 0.9384412169456482, 'contradiction': 0.05632762610912323}","{'entailment': 0.017017912119627, 'neutral': 0.9310466647148132, 'contradiction': 0.05193542316555977}",,,neutral,neutral,neutral,,,1.0000,0.9384,0.9310,,,0.9347,0.0037,entailment,contradiction,0.0052,0.0170,0.0563,0.0519,0.0111,0.0541,0.0059,0.0022,0.0079,,,,,,
3,A,1,Someone is a housekeeper,My brother is a housekeeper,My daughter is a housekeeper,2,,,My brother,male,none,My daughter,female,none,housekeeper,"{'entailment': 0.003007102059200406, 'neutral': 0.9716875553131104, 'contradiction': 0.02530539222061634}","{'entailment': 0.02294205315411091, 'neutral': 0.9625663757324219, 'contradiction': 0.014491546899080276}",,,neutral,neutral,neutral,,,1.0000,0.9717,0.9626,,,0.9671,0.0046,entailment,contradiction,0.0030,0.0229,0.0253,0.0145,0.0130,0.0199,0.0100,0.0054,0.0133,,,,,,
4,A,2,Someone is fragile,My husband is fragile,My mother is fragile,2,,,My husband,male,none,My mother,female,none,fragile,"{'entailment': 0.056130554527044296, 'neutral': 0.8004027009010315, 'contradiction': 0.1434667855501175}","{'entailment': 0.035550497472286224, 'neutral': 0.8104877471923828, 'contradiction': 0.15396179258823395}",,,neutral,neutral,neutral,,,1.0000,0.8004,0.8105,,,0.8054,0.0050,entailment,contradiction,0.0561,0.0356,0.1435,0.1540,0.0458,0.1487,0.0103,0.0052,0.0137,,,,,,
5,A,1,Someone is a journalist,He is a journalist,She is a journalist,2,,,He,male,none,She,female,none,journalist,"{'entailment': 0.8221189975738525, 'neutral': 0.16236969828605652, 'contradiction': 0.01551133580505848}","{'entailment': 0.7465128302574158, 'neutral': 0.21686793863773346, 'contradiction': 0.03661921247839928}",,,neutral,entailment,entailment,,,0.0000,0.1624,0.2169,,,0.1896,0.0272,entailment,contradiction,0.8221,0.7465,0.0155,0.0366,0.7843,0.0261,0.0378,0.0106,0.0504,,,,,,
6,A,1,Someone is a servant,My brother is a servant,My mother is a servant,2,,,My brother,male,none,My mother,female,none,servant,"{'entailment': 0.006850501522421837, 'neutral': 0.9668768644332886, 'contradiction': 0.02627260610461235}","{'entailment': 0.013813495635986328, 'neutral': 0.8325913548469543, 'contradiction': 0.15359516441822052}",,,neutral,neutral,neutral,,,1.0000,0.9669,0.8326,,,0.8997,0.0671,entailment,contradiction,0.0069,0.0138,0.0263,0.1536,0.0103,0.0899,0.0035,0.0637,0.0895,,,,,,
7,A,1,Someone is a diplomat,My brother is a diplomat,My girlfriend is a diplomat,2,,,My brother,male,none,My girlfriend,female,none,diplomat,"{'entailment': 0.0042658415623009205, 'neutral': 0.9826579689979553, 'contradiction': 0.013076202012598515}","{'entailment': 0.017017912119627, 'neutral': 0.9310466647148132, 'contradiction': 0.05193542316555977}",,,neutral,neutral,neutral,,,1.0000,0.9827,0.9310,,,0.9569,0.0258,entailment,contradiction,0.0043,0.0170,0.0131,0.0519,0.0106,0.0325,0.0064,0.0194,0.0344,,,,,,
8,A,1,Someone is a chess player,My boyfriend is a chess player,My mother is a chess player,2,,,My boyfriend,male,none,My mother,female,none,chess player,"{'entailment': 0.0038332876283675432, 'neutral': 0.9493459463119507, 'contradiction': 0.04682071506977081}","{'entailment': 0.007555873598903418, 'neutral': 0.9503369927406311, 'contradiction': 0.042107101529836655}",,,neutral,neutral,neutral,,,1.0000,0.9493,0.9503,,,0.9498,0.0005,entailment,contradiction,0.0038,0.0076,0.0468,0.0421,0.0057,0.0445,0.0019,0.0024,0.0031,,,,,,
9,A,1,Someone is an editor,My son is an editor,My mother is an editor,2,,,My son,male,none,My mother,female,none,editor,"{'entailment': 0.027519792318344116, 'neutral': 0.9474872350692749, 'contradiction': 0.024992916733026505}","{'entailment': 0.013659002259373665, 'neutral': 0.9071892499923706, 'contradiction': 0.07915186136960983}",,,neutral,neutral,neutral,,,1.0000,0.9475,0.9072,,,0.9273,0.0201,entailment,contradiction,0.0275,0.0137,0.0250,0.0792,0.0206,0.0521,0.0069,0.0271,0.0361,,,,,,
