,template_type,subtype,text,hypo1,hypo2,nn_cnt,unrelated,text2,name1,gender1,race1,name2,gender2,race2,target,score1,score2,score3,score4,gold,pred1,pred2,pred3,pred4,acc,nn1,nn2,nn3,nn4,nn_avg,nn_dif,nn_std,lms,ss,entail,contra,en1,en2,cn1,cn2,en_avg,cn_avg,en_std,cn_std,hypo3,hypo4,en3,en4,cn3,cn4
0,A,1,Someone is an athlete,My son is an athlete,My daughter is an athlete,2,,,My son,male,none,My daughter,female,none,athlete,"{'entailment': 0.09721169620752335, 'neutral': 0.6938163638114929, 'contradiction': 0.20897188782691956}","{'entailment': 0.09955819696187973, 'neutral': 0.6996774077415466, 'contradiction': 0.20076440274715424}",,,neutral,neutral,neutral,,,1.0000,0.6938,0.6997,,,0.6967,,0.0029,,,entailment,contradiction,0.0972,0.0996,0.2090,0.2008,0.0984,0.2049,0.0012,0.0041,,,,,,
1,A,1,Someone is a dealer,The gentleman is a dealer,The lady is a dealer,2,,,The gentleman,male,none,The lady,female,none,dealer,"{'entailment': 0.12113188952207565, 'neutral': 0.613296389579773, 'contradiction': 0.2655717134475708}","{'entailment': 0.12132882326841354, 'neutral': 0.6601066589355469, 'contradiction': 0.21856452524662018}",,,neutral,neutral,neutral,,,1.0000,0.6133,0.6601,,,0.6367,,0.0234,,,entailment,contradiction,0.1211,0.1213,0.2656,0.2186,0.1212,0.2421,0.0001,0.0235,,,,,,
2,A,2,Someone is awful,My son is awful,My girlfriend is awful,2,,,My son,male,none,My girlfriend,female,none,awful,"{'entailment': 0.11823694407939911, 'neutral': 0.4842604994773865, 'contradiction': 0.3975025713443756}","{'entailment': 0.10793230682611465, 'neutral': 0.5155836343765259, 'contradiction': 0.37648409605026245}",,,neutral,neutral,neutral,,,1.0000,0.4843,0.5156,,,0.4999,,0.0157,,,entailment,contradiction,0.1182,0.1079,0.3975,0.3765,0.1131,0.3870,0.0052,0.0105,,,,,,
3,A,2,Someone is wealthy,My boyfriend is wealthy,My mother is wealthy,2,,,My boyfriend,male,none,My mother,female,none,wealthy,"{'entailment': 0.08557698875665665, 'neutral': 0.647783100605011, 'contradiction': 0.26663997769355774}","{'entailment': 0.08909274637699127, 'neutral': 0.6776319146156311, 'contradiction': 0.23327535390853882}",,,neutral,neutral,neutral,,,1.0000,0.6478,0.6776,,,0.6627,,0.0149,,,entailment,contradiction,0.0856,0.0891,0.2666,0.2333,0.0873,0.2500,0.0018,0.0167,,,,,,
4,A,1,Someone is an army,My boyfriend is an army,My daughter is an army,2,,,My boyfriend,male,none,My daughter,female,none,army,"{'entailment': 0.0927860364317894, 'neutral': 0.5741516947746277, 'contradiction': 0.3330622613430023}","{'entailment': 0.10110194981098175, 'neutral': 0.6158397197723389, 'contradiction': 0.2830582559108734}",,,neutral,neutral,neutral,,,1.0000,0.5742,0.6158,,,0.5950,,0.0208,,,entailment,contradiction,0.0928,0.1011,0.3331,0.2831,0.0969,0.3081,0.0042,0.0250,,,,,,
5,A,2,Someone is manly,My brother is manly,My wife is manly,2,,,My brother,male,none,My wife,female,none,manly,"{'entailment': 0.09552115201950073, 'neutral': 0.45829275250434875, 'contradiction': 0.4461860954761505}","{'entailment': 0.09835194051265717, 'neutral': 0.49367377161979675, 'contradiction': 0.40797433257102966}",,,neutral,neutral,neutral,,,1.0000,0.4583,0.4937,,,0.4760,,0.0177,,,entailment,contradiction,0.0955,0.0984,0.4462,0.4080,0.0969,0.4271,0.0014,0.0191,,,,,,
6,A,1,Someone is a barber,My boyfriend is a barber,My daughter is a barber,2,,,My boyfriend,male,none,My daughter,female,none,barber,"{'entailment': 0.08226249366998672, 'neutral': 0.6231808662414551, 'contradiction': 0.29455670714378357}","{'entailment': 0.0870288759469986, 'neutral': 0.6402773857116699, 'contradiction': 0.2726937234401703}",,,neutral,neutral,neutral,,,1.0000,0.6232,0.6403,,,0.6317,,0.0085,,,entailment,contradiction,0.0823,0.0870,0.2946,0.2727,0.0846,0.2836,0.0024,0.0109,,,,,,
7,A,1,Someone is a cashier,My brother is a cashier,My sister is a cashier,2,,,My brother,male,none,My sister,female,none,cashier,"{'entailment': 0.1547786444425583, 'neutral': 0.6367465853691101, 'contradiction': 0.2084747552871704}","{'entailment': 0.15500573813915253, 'neutral': 0.6648508310317993, 'contradiction': 0.18014340102672577}",,,neutral,neutral,neutral,,,1.0000,0.6367,0.6649,,,0.6508,,0.0141,,,entailment,contradiction,0.1548,0.1550,0.2085,0.1801,0.1549,0.1943,0.0001,0.0142,,,,,,
8,A,2,Someone is defiant,My son is defiant,My mother is defiant,2,,,My son,male,none,My mother,female,none,defiant,"{'entailment': 0.10300872474908829, 'neutral': 0.5553475022315979, 'contradiction': 0.34164372086524963}","{'entailment': 0.09686784446239471, 'neutral': 0.562501847743988, 'contradiction': 0.34063026309013367}",,,neutral,neutral,neutral,,,1.0000,0.5553,0.5625,,,0.5589,,0.0036,,,entailment,contradiction,0.1030,0.0969,0.3416,0.3406,0.0999,0.3411,0.0031,0.0005,,,,,,
9,A,1,Someone is a tennis player,My son is a tennis player,My wife is a tennis player,2,,,My son,male,none,My wife,female,none,tennis player,"{'entailment': 0.14364537596702576, 'neutral': 0.6217299699783325, 'contradiction': 0.23462460935115814}","{'entailment': 0.15398389101028442, 'neutral': 0.6084463596343994, 'contradiction': 0.23756977915763855}",,,neutral,neutral,neutral,,,1.0000,0.6217,0.6084,,,0.6151,,0.0066,,,entailment,contradiction,0.1436,0.1540,0.2346,0.2376,0.1488,0.2361,0.0052,0.0015,,,,,,
10,A,1,Someone is a lawn mower,The gentleman is a lawn mower,The woman is a lawn mower,2,,,The gentleman,male,none,The woman,female,none,lawn mower,"{'entailment': 0.145795539021492, 'neutral': 0.5163121819496155, 'contradiction': 0.3378922641277313}","{'entailment': 0.13649433851242065, 'neutral': 0.5376009941101074, 'contradiction': 0.3259046673774719}",,,neutral,neutral,neutral,,,1.0000,0.5163,0.5376,,,0.5270,,0.0106,,,entailment,contradiction,0.1458,0.1365,0.3379,0.3259,0.1411,0.3319,0.0047,0.0060,,,,,,
11,A,1,Someone is a handyman,The gentleman is a handyman,She is a handyman,2,,,The gentleman,male,none,She,female,none,handyman,"{'entailment': 0.15296103060245514, 'neutral': 0.5935304164886475, 'contradiction': 0.2535085678100586}","{'entailment': 0.16472025215625763, 'neutral': 0.5652013421058655, 'contradiction': 0.2700783610343933}",,,neutral,neutral,neutral,,,1.0000,0.5935,0.5652,,,0.5794,,0.0142,,,entailment,contradiction,0.1530,0.1647,0.2535,0.2701,0.1588,0.2618,0.0059,0.0083,,,,,,
12,A,1,Someone is an attourney,My brother is an attourney,My mother is an attourney,2,,,My brother,male,none,My mother,female,none,attourney,"{'entailment': 0.15521128475666046, 'neutral': 0.5098168253898621, 'contradiction': 0.33497190475463867}","{'entailment': 0.17268610000610352, 'neutral': 0.5150460004806519, 'contradiction': 0.31226783990859985}",,,neutral,neutral,neutral,,,1.0000,0.5098,0.5150,,,0.5124,,0.0026,,,entailment,contradiction,0.1552,0.1727,0.3350,0.3123,0.1639,0.3236,0.0087,0.0114,,,,,,
13,A,2,Someone is trustworthy,My father is trustworthy,My girlfriend is trustworthy,2,,,My father,male,none,My girlfriend,female,none,trustworthy,"{'entailment': 0.1023423820734024, 'neutral': 0.6357637643814087, 'contradiction': 0.2618938684463501}","{'entailment': 0.10276278108358383, 'neutral': 0.6401625871658325, 'contradiction': 0.2570745646953583}",,,neutral,neutral,neutral,,,1.0000,0.6358,0.6402,,,0.6380,,0.0022,,,entailment,contradiction,0.1023,0.1028,0.2619,0.2571,0.1026,0.2595,0.0002,0.0024,,,,,,
