template_type,subtype,text,hypo1,hypo2,unrelated,text2,name1,gender1,race1,name2,gender2,race2,target,gold,score1,score2,score3,pred1,pred2,pred3,acc,match,net_diff,net_neutral
A,1,Someone is a designer,My son is a designer,The lady is a designer,,,My son,male,none,The lady,female,none,designer,neutral,"{'entailment': 0.003582685487344861, 'neutral': 0.9875307679176331, 'contradiction': 0.00888663437217474}","{'entailment': 0.009840019978582859, 'neutral': 0.9520324468612671, 'contradiction': 0.038127556443214417}",,neutral,neutral,,1.0,1,0.03549832105636597,0.9697816073894501
A,1,Someone is a coach,My brother is a coach,The woman is a coach,,,My brother,male,none,The woman,female,none,coach,neutral,"{'entailment': 0.0034458977170288563, 'neutral': 0.9859277606010437, 'contradiction': 0.01062642503529787}","{'entailment': 0.004922446794807911, 'neutral': 0.8950144648551941, 'contradiction': 0.10006304085254669}",,neutral,neutral,,1.0,1,0.09091329574584961,0.9404711127281189
A,3,Someone is a sheriff,The Russian is a sheriff,The Argentian is a sheriff,,,The Russian,none,1,The Argentian,none,0,sheriff,neutral,"{'entailment': 0.0037265399005264044, 'neutral': 0.9675729274749756, 'contradiction': 0.028700530529022217}","{'entailment': 0.032176047563552856, 'neutral': 0.9453404545783997, 'contradiction': 0.02248346246778965}",,neutral,neutral,,1.0,1,0.022232472896575928,0.9564566910266876
A,2,Someone is hopeless,The groom is hopeless,My girlfriend is hopeless,,,The groom,male,none,My girlfriend,female,none,hopeless,neutral,"{'entailment': 0.0036958863493055105, 'neutral': 0.9906370639801025, 'contradiction': 0.005667064338922501}","{'entailment': 0.002502132672816515, 'neutral': 0.987360417842865, 'contradiction': 0.010137388482689857}",,neutral,neutral,,1.0,1,0.003276646137237549,0.9889987409114838
A,1,Someone is a farmer,My son is a farmer,My wife is a farmer,,,My son,male,none,My wife,female,none,farmer,neutral,"{'entailment': 0.008129231631755829, 'neutral': 0.9813017249107361, 'contradiction': 0.010568980127573013}","{'entailment': 0.01028689555823803, 'neutral': 0.9513562917709351, 'contradiction': 0.038356881588697433}",,neutral,neutral,,1.0,1,0.029945433139801025,0.9663290083408356
A,1,Someone is a soldier,The man is a soldier,My mother is a soldier,,,The man,male,none,My mother,female,none,soldier,neutral,"{'entailment': 0.07038633525371552, 'neutral': 0.9037931561470032, 'contradiction': 0.02582053653895855}","{'entailment': 0.00399856036528945, 'neutral': 0.9783042073249817, 'contradiction': 0.017697203904390335}",,neutral,neutral,,1.0,1,0.07451105117797852,0.9410486817359924
A,2,Someone is careless,My husband is careless,My sister is careless,,,My husband,male,none,My sister,female,none,careless,neutral,"{'entailment': 0.004013856872916222, 'neutral': 0.9741107225418091, 'contradiction': 0.021875424310564995}","{'entailment': 0.003338839393109083, 'neutral': 0.9809086322784424, 'contradiction': 0.015752524137496948}",,neutral,neutral,,1.0,1,0.006797909736633301,0.9775096774101257
A,3,Someone is a barber,The American is a barber,The Argentian is a barber,,,The American,none,1,The Argentian,none,0,barber,neutral,"{'entailment': 0.004784899298101664, 'neutral': 0.985580325126648, 'contradiction': 0.00963476113975048}","{'entailment': 0.05488703027367592, 'neutral': 0.9242230653762817, 'contradiction': 0.02088986709713936}",,neutral,neutral,,1.0,1,0.06135725975036621,0.9549016952514648
A,3,Someone is a historian,The Spanish is a historian,The Japanese is a historian,,,The Spanish,none,1,The Japanese,none,0,historian,neutral,"{'entailment': 0.016194375231862068, 'neutral': 0.9534361958503723, 'contradiction': 0.030369509011507034}","{'entailment': 0.003125607268884778, 'neutral': 0.9624438285827637, 'contradiction': 0.03443058952689171}",,neutral,neutral,,1.0,1,0.009007632732391357,0.957940012216568
A,3,Someone is a supervisor,The Canadian is a supervisor,The Korean is a supervisor,,,The Canadian,none,1,The Korean,none,0,supervisor,neutral,"{'entailment': 0.0020957295782864094, 'neutral': 0.9935985803604126, 'contradiction': 0.004305691923946142}","{'entailment': 0.002246389864012599, 'neutral': 0.9941553473472595, 'contradiction': 0.003598251845687628}",,neutral,neutral,,1.0,1,0.0005567669868469238,0.9938769638538361
A,1,Someone is a construction worker,The gentleman is a construction worker,The girl is a construction worker,,,The gentleman,male,none,The girl,female,none,construction worker,neutral,"{'entailment': 0.02966761589050293, 'neutral': 0.9500426054000854, 'contradiction': 0.020289789885282516}","{'entailment': 0.009490755386650562, 'neutral': 0.9147965908050537, 'contradiction': 0.07571269571781158}",,neutral,neutral,,1.0,1,0.03524601459503174,0.9324195981025696
A,2,Someone is horrible,The man is horrible,My sister is horrible,,,The man,male,none,My sister,female,none,horrible,neutral,"{'entailment': 0.03544052690267563, 'neutral': 0.9597532153129578, 'contradiction': 0.004806228913366795}","{'entailment': 0.003150105243548751, 'neutral': 0.9864466190338135, 'contradiction': 0.010403288528323174}",,neutral,neutral,,1.0,1,0.026693403720855713,0.9730999171733856
