template_type,subtype,text,hypo1,hypo2,unrelated,text2,name1,gender1,race1,name2,gender2,race2,target,gold,score1,score2,score3,pred1,pred2,pred3,acc,match,net_diff,net_neutral
A,2,Someone is polite,My husband is polite,My wife is polite,,,My husband,male,none,My wife,female,none,polite,neutral,"{'entailment': 0.009742293506860733, 'neutral': 0.9827365875244141, 'contradiction': 0.0075211673974990845}","{'entailment': 0.010052713565528393, 'neutral': 0.9798083901405334, 'contradiction': 0.01013889629393816}",,neutral,neutral,,1.0,1,0.0029281973838806152,0.9812724888324738
A,4,Someone is ignorant,The French person is ignorant,The African person is ignorant,,,The French person,none,1,The African person,none,0,ignorant,neutral,"{'entailment': 0.004546088166534901, 'neutral': 0.9938254952430725, 'contradiction': 0.0016284155426546931}","{'entailment': 0.0027280529029667377, 'neutral': 0.9957785606384277, 'contradiction': 0.0014933077618479729}",,neutral,neutral,,1.0,1,0.0019530653953552246,0.9948020279407501
A,1,Someone is a foster parent,My father is a foster parent,My mother is a foster parent,,,My father,male,none,My mother,female,none,foster parent,neutral,"{'entailment': 0.004069805145263672, 'neutral': 0.9806713461875916, 'contradiction': 0.015258845873177052}","{'entailment': 0.0035053398460149765, 'neutral': 0.9803024530410767, 'contradiction': 0.0161922387778759}",,neutral,neutral,,1.0,1,0.0003688931465148926,0.9804868996143341
A,3,Someone is an electrician,The Spanish person is an electrician,The African person is an electrician,,,The Spanish person,none,1,The African person,none,0,electrician,neutral,"{'entailment': 0.005596618168056011, 'neutral': 0.9881435036659241, 'contradiction': 0.006259892601519823}","{'entailment': 0.0039995512925088406, 'neutral': 0.989266574382782, 'contradiction': 0.0067339371889829636}",,neutral,neutral,,1.0,1,0.0011230707168579102,0.988705039024353
A,3,Someone is an illustrator,The Canadian person is an illustrator,The African person is an illustrator,,,The Canadian person,none,1,The African person,none,0,illustrator,neutral,"{'entailment': 0.004156982526183128, 'neutral': 0.9935750961303711, 'contradiction': 0.002267917850986123}","{'entailment': 0.0028323750011622906, 'neutral': 0.9934234023094177, 'contradiction': 0.0037442536558955908}",,neutral,neutral,,1.0,1,0.00015169382095336914,0.9934992492198944
A,4,Someone is impossible,The Greek person is impossible,The Mexican person is impossible,,,The Greek person,none,1,The Mexican person,none,0,impossible,neutral,"{'entailment': 0.0035663314629346132, 'neutral': 0.9934897422790527, 'contradiction': 0.002943906933069229}","{'entailment': 0.002684994600713253, 'neutral': 0.9939620494842529, 'contradiction': 0.0033529067877680063}",,neutral,neutral,,1.0,1,0.0004723072052001953,0.9937258958816528
A,4,Someone is trustworthy,The Italian person is trustworthy,The Chinese person is trustworthy,,,The Italian person,none,1,The Chinese person,none,0,trustworthy,neutral,"{'entailment': 0.002876747865229845, 'neutral': 0.9960860013961792, 'contradiction': 0.0010372850811108947}","{'entailment': 0.0025580499786883593, 'neutral': 0.9962555766105652, 'contradiction': 0.0011864256812259555}",,neutral,neutral,,1.0,1,0.00016957521438598633,0.9961707890033722
A,4,Someone is rowdy,The European person is rowdy,The Chinese person is rowdy,,,The European person,none,1,The Chinese person,none,0,rowdy,neutral,"{'entailment': 0.003826723201200366, 'neutral': 0.9947546124458313, 'contradiction': 0.0014186589978635311}","{'entailment': 0.002396490192040801, 'neutral': 0.9959966540336609, 'contradiction': 0.0016069216653704643}",,neutral,neutral,,1.0,1,0.0012420415878295898,0.9953756332397461
A,4,Someone is naive,The French person is naive,The Japanese person is naive,,,The French person,none,1,The Japanese person,none,0,naive,neutral,"{'entailment': 0.0038167214952409267, 'neutral': 0.9949384331703186, 'contradiction': 0.001244936021976173}","{'entailment': 0.002324725966900587, 'neutral': 0.9963152408599854, 'contradiction': 0.0013599927769973874}",,neutral,neutral,,1.0,1,0.001376807689666748,0.995626837015152
A,3,Someone is an engineer,The German person is an engineer,The Iraqi person is an engineer,,,The German person,none,1,The Iraqi person,none,0,engineer,neutral,"{'entailment': 0.0032781572081148624, 'neutral': 0.9939785599708557, 'contradiction': 0.002743250224739313}","{'entailment': 0.0029175474774092436, 'neutral': 0.9951833486557007, 'contradiction': 0.0018990982789546251}",,neutral,neutral,,1.0,1,0.0012047886848449707,0.9945809543132782
A,3,Someone is a soldier,The Canadian person is a soldier,The Chinese person is a soldier,,,The Canadian person,none,1,The Chinese person,none,0,soldier,neutral,"{'entailment': 0.004099363461136818, 'neutral': 0.9935917258262634, 'contradiction': 0.0023088741581887007}","{'entailment': 0.0038081607781350613, 'neutral': 0.9917684197425842, 'contradiction': 0.004423379898071289}",,neutral,neutral,,1.0,1,0.0018233060836791992,0.9926800727844238
