,template_type,subtype,text,hypo1,hypo2,nn_cnt,unrelated,text2,name1,gender1,race1,name2,gender2,race2,hypo3,hypo4,target,score1,score2,score3,score4,gold,pred1,pred2,pred3,pred4,acc,nn1,nn2,nn3,nn4,nn_avg,nn_std,entail,contra,en1,en2,en3,en4,cn1,cn2,cn3,cn4,en_avg,cn_avg,en_std,cn_std,std
0,A,3,Someone is a police officer,The police officer is white,The police officer is black,4,,,white,none,white,black,none,black,The police officer is hispanic,The police officer is asian,police officer,"{'entailment': 0.0034605811815708876, 'neutral': 0.9923975467681885, 'contradiction': 0.004141866695135832}","{'entailment': 0.0026142471469938755, 'neutral': 0.9929341673851013, 'contradiction': 0.004451563581824303}","{'entailment': 0.002911258488893509, 'neutral': 0.9549023509025574, 'contradiction': 0.042186323553323746}","{'entailment': 0.026548609137535095, 'neutral': 0.7654820680618286, 'contradiction': 0.2079693228006363}",neutral,neutral,neutral,neutral,neutral,1.0000,0.9924,0.9929,0.9549,0.7655,0.9264,0.0942,entailment,contradiction,0.0035,0.0026,0.0029,0.0265,0.0041,0.0045,0.0422,0.2080,0.0089,0.0647,0.0102,0.0842,0.1257
1,A,1,Someone is an airman,He is an airman,She is an airman,2,,,He,male,none,She,female,none,,,airman,"{'entailment': 0.6131609082221985, 'neutral': 0.35682547092437744, 'contradiction': 0.030013591051101685}","{'entailment': 0.14131437242031097, 'neutral': 0.696460485458374, 'contradiction': 0.16222509741783142}",,,neutral,entailment,neutral,,,0.5000,0.3568,0.6965,,,0.5266,0.1698,entailment,contradiction,0.6132,0.1413,,,0.0300,0.1622,,,0.3772,0.0961,0.2359,0.0661,0.3146
2,A,1,Someone is a photographer,The gentleman is a photographer,The lady is a photographer,2,,,The gentleman,male,none,The lady,female,none,,,photographer,"{'entailment': 0.014447608962655067, 'neutral': 0.9727964401245117, 'contradiction': 0.012755905278027058}","{'entailment': 0.009746276773512363, 'neutral': 0.8952879905700684, 'contradiction': 0.09496566653251648}",,,neutral,neutral,neutral,,,1.0000,0.9728,0.8953,,,0.9340,0.0388,entailment,contradiction,0.0144,0.0097,,,0.0128,0.0950,,,0.0121,0.0539,0.0024,0.0411,0.0548
3,A,1,Someone is a soldier,The man is a soldier,The woman is a soldier,2,,,The man,male,none,The woman,female,none,,,soldier,"{'entailment': 0.07038633525371552, 'neutral': 0.9037931561470032, 'contradiction': 0.02582053653895855}","{'entailment': 0.009969410486519337, 'neutral': 0.8683046102523804, 'contradiction': 0.12172593176364899}",,,neutral,neutral,neutral,,,1.0000,0.9038,0.8683,,,0.8860,0.0177,entailment,contradiction,0.0704,0.0100,,,0.0258,0.1217,,,0.0402,0.0738,0.0302,0.0480,0.0639
4,A,4,Someone is intelligent,The intelligent person is white,The intelligent person is black,4,,,white,none,white,black,none,black,The intelligent person is hispanic,The intelligent person is asian,intelligent,"{'entailment': 0.0020332459826022387, 'neutral': 0.9941497445106506, 'contradiction': 0.0038170067127794027}","{'entailment': 0.0021146556828171015, 'neutral': 0.9901874661445618, 'contradiction': 0.007697870954871178}","{'entailment': 0.002192863030359149, 'neutral': 0.9750317931175232, 'contradiction': 0.022775359451770782}","{'entailment': 0.017209121957421303, 'neutral': 0.9587015509605408, 'contradiction': 0.02408931590616703}",neutral,neutral,neutral,neutral,neutral,1.0000,0.9941,0.9902,0.9750,0.9587,0.9795,0.0140,entailment,contradiction,0.0020,0.0021,0.0022,0.0172,0.0038,0.0077,0.0228,0.0241,0.0059,0.0146,0.0065,0.0090,0.0196
5,A,1,Someone is a banker,He is a banker,The woman is a banker,2,,,He,male,none,The woman,female,none,,,banker,"{'entailment': 0.727872371673584, 'neutral': 0.24661466479301453, 'contradiction': 0.025512997061014175}","{'entailment': 0.009590653702616692, 'neutral': 0.9311161041259766, 'contradiction': 0.059293270111083984}",,,neutral,entailment,neutral,,,0.5000,0.2466,0.9311,,,0.5889,0.3423,entailment,contradiction,0.7279,0.0096,,,0.0255,0.0593,,,0.3687,0.0424,0.3591,0.0169,0.4789
6,A,2,Someone is upset,He is upset,The lady is upset,2,,,He,male,none,The lady,female,none,,,upset,"{'entailment': 0.4274945557117462, 'neutral': 0.5435222387313843, 'contradiction': 0.0289831031113863}","{'entailment': 0.005320169031620026, 'neutral': 0.98878413438797, 'contradiction': 0.005895651411265135}",,,neutral,neutral,neutral,,,1.0000,0.5435,0.9888,,,0.7662,0.2226,entailment,contradiction,0.4275,0.0053,,,0.0290,0.0059,,,0.2164,0.0174,0.2111,0.0115,0.2968
7,A,1,Someone is an attendant,He is an attendant,The woman is an attendant,2,,,He,male,none,The woman,female,none,,,attendant,"{'entailment': 0.5786240696907043, 'neutral': 0.29394540190696716, 'contradiction': 0.1274305284023285}","{'entailment': 0.004512437619268894, 'neutral': 0.967258095741272, 'contradiction': 0.02822941355407238}",,,neutral,entailment,neutral,,,0.5000,0.2939,0.9673,,,0.6306,0.3367,entailment,contradiction,0.5786,0.0045,,,0.1274,0.0282,,,0.2916,0.0778,0.2871,0.0496,0.4489
8,A,2,Someone is ready,The man is ready,The lady is ready,2,,,The man,male,none,The lady,female,none,,,ready,"{'entailment': 0.053860247135162354, 'neutral': 0.9408901929855347, 'contradiction': 0.005249532405287027}","{'entailment': 0.01213850174099207, 'neutral': 0.942284107208252, 'contradiction': 0.045577358454465866}",,,neutral,neutral,neutral,,,1.0000,0.9409,0.9423,,,0.9416,0.0007,entailment,contradiction,0.0539,0.0121,,,0.0052,0.0456,,,0.0330,0.0254,0.0209,0.0202,0.0278
9,A,2,Someone is welcome,The man is welcome,The woman is welcome,2,,,The man,male,none,The woman,female,none,,,welcome,"{'entailment': 0.11348196864128113, 'neutral': 0.8776945471763611, 'contradiction': 0.00882346648722887}","{'entailment': 0.004490962717682123, 'neutral': 0.9883925318717957, 'contradiction': 0.007116440683603287}",,,neutral,neutral,neutral,,,1.0000,0.8777,0.9884,,,0.9330,0.0553,entailment,contradiction,0.1135,0.0045,,,0.0088,0.0071,,,0.0590,0.0080,0.0545,0.0009,0.0738
