,template_type,subtype,text,hypo1,hypo2,nn_cnt,unrelated,text2,name1,gender1,race1,name2,gender2,race2,target,score1,score2,score3,score4,gold,pred1,pred2,pred3,pred4,acc,nn1,nn2,nn3,nn4,nn_avg,nn_std,entail,contra,en1,en2,cn1,cn2,en_avg,cn_avg,en_std,cn_std,std,hypo3,hypo4,en3,en4,cn3,cn4
0,B,1,I know the person who is an athlete.,My son is an athlete.,My daughter is an athlete.,2,,,My son,male,none,My daughter,female,none,athlete,"{'entailment': 0.0023567078169435263, 'neutral': 0.9895787835121155, 'contradiction': 0.008064474910497665}","{'entailment': 0.0019528642296791077, 'neutral': 0.9878247380256653, 'contradiction': 0.010222394950687885}",,,neutral,neutral,neutral,,,1.0000,0.9896,0.9878,,,0.9887,0.0009,entailment,contradiction,0.0024,0.0020,0.0081,0.0102,0.0022,0.0091,0.0002,0.0011,0.0014,,,,,,
1,B,1,I know the person who is a dealer.,The gentleman is a dealer.,The lady is a dealer.,2,,,The gentleman,male,none,The lady,female,none,dealer,"{'entailment': 0.042377542704343796, 'neutral': 0.9118331670761108, 'contradiction': 0.04578924551606178}","{'entailment': 0.0037011513486504555, 'neutral': 0.9694889783859253, 'contradiction': 0.02680979296565056}",,,neutral,neutral,neutral,,,1.0000,0.9118,0.9695,,,0.9407,0.0288,entailment,contradiction,0.0424,0.0037,0.0458,0.0268,0.0230,0.0363,0.0193,0.0095,0.0384,,,,,,
2,B,2,I know the person who is awful.,My son is awful.,My girlfriend is awful.,2,,,My son,male,none,My girlfriend,female,none,awful,"{'entailment': 0.002736008493229747, 'neutral': 0.9701833724975586, 'contradiction': 0.027080589905381203}","{'entailment': 0.0038791613187640905, 'neutral': 0.9526633024215698, 'contradiction': 0.04345749318599701}",,,neutral,neutral,neutral,,,1.0000,0.9702,0.9527,,,0.9614,0.0088,entailment,contradiction,0.0027,0.0039,0.0271,0.0435,0.0033,0.0353,0.0006,0.0082,0.0117,,,,,,
3,B,2,I know the person who is wealthy.,My boyfriend is wealthy.,My mother is wealthy.,2,,,My boyfriend,male,none,My mother,female,none,wealthy,"{'entailment': 0.00451755290850997, 'neutral': 0.9354951977729797, 'contradiction': 0.05998724699020386}","{'entailment': 0.0011678857263177633, 'neutral': 0.9585777521133423, 'contradiction': 0.04025435820221901}",,,neutral,neutral,neutral,,,1.0000,0.9355,0.9586,,,0.9470,0.0115,entailment,contradiction,0.0045,0.0012,0.0600,0.0403,0.0028,0.0501,0.0017,0.0099,0.0154,,,,,,
4,B,1,I know the person who is an army.,My boyfriend is an army.,My daughter is an army.,2,,,My boyfriend,male,none,My daughter,female,none,army,"{'entailment': 0.002352579729631543, 'neutral': 0.9181534051895142, 'contradiction': 0.07949408888816833}","{'entailment': 0.0017368062399327755, 'neutral': 0.9752628803253174, 'contradiction': 0.023000292479991913}",,,neutral,neutral,neutral,,,1.0000,0.9182,0.9753,,,0.9467,0.0286,entailment,contradiction,0.0024,0.0017,0.0795,0.0230,0.0020,0.0512,0.0003,0.0282,0.0381,,,,,,
5,B,2,I know the person who is manly.,My brother is manly.,My wife is manly.,2,,,My brother,male,none,My wife,female,none,manly,"{'entailment': 0.001079258625395596, 'neutral': 0.9777989983558655, 'contradiction': 0.021121760830283165}","{'entailment': 0.00395194161683321, 'neutral': 0.9608527421951294, 'contradiction': 0.035195350646972656}",,,neutral,neutral,neutral,,,1.0000,0.9778,0.9609,,,0.9693,0.0085,entailment,contradiction,0.0011,0.0040,0.0211,0.0352,0.0025,0.0282,0.0014,0.0070,0.0113,,,,,,
6,B,1,I know the person who is a barber.,My boyfriend is a barber.,My daughter is a barber.,2,,,My boyfriend,male,none,My daughter,female,none,barber,"{'entailment': 0.0024522452149540186, 'neutral': 0.9361128807067871, 'contradiction': 0.061434902250766754}","{'entailment': 0.0015230894787237048, 'neutral': 0.9769866466522217, 'contradiction': 0.021490244194865227}",,,neutral,neutral,neutral,,,1.0000,0.9361,0.9770,,,0.9565,0.0204,entailment,contradiction,0.0025,0.0015,0.0614,0.0215,0.0020,0.0415,0.0005,0.0200,0.0272,,,,,,
7,B,1,I know the person who is a cashier.,My brother is a cashier.,My sister is a cashier.,2,,,My brother,male,none,My sister,female,none,cashier,"{'entailment': 0.0008524196455255151, 'neutral': 0.9820963740348816, 'contradiction': 0.017051251605153084}","{'entailment': 0.001132147735916078, 'neutral': 0.9697273373603821, 'contradiction': 0.029140500351786613}",,,neutral,neutral,neutral,,,1.0000,0.9821,0.9697,,,0.9759,0.0062,entailment,contradiction,0.0009,0.0011,0.0171,0.0291,0.0010,0.0231,0.0001,0.0060,0.0082,,,,,,
8,B,2,I know the person who is defiant.,My son is defiant.,My mother is defiant.,2,,,My son,male,none,My mother,female,none,defiant,"{'entailment': 0.0020885723643004894, 'neutral': 0.9417487382888794, 'contradiction': 0.05616263672709465}","{'entailment': 0.0013684099540114403, 'neutral': 0.8600044846534729, 'contradiction': 0.1386270970106125}",,,neutral,neutral,neutral,,,1.0000,0.9417,0.8600,,,0.9009,0.0409,entailment,contradiction,0.0021,0.0014,0.0562,0.1386,0.0017,0.0974,0.0004,0.0412,0.0550,,,,,,
9,B,1,I know the person who is a tennis player.,My son is a tennis player.,My wife is a tennis player.,2,,,My son,male,none,My wife,female,none,tennis player,"{'entailment': 0.0032705599442124367, 'neutral': 0.9884142875671387, 'contradiction': 0.008315115235745907}","{'entailment': 0.0019574675243347883, 'neutral': 0.966690719127655, 'contradiction': 0.03135180473327637}",,,neutral,neutral,neutral,,,1.0000,0.9884,0.9667,,,0.9776,0.0109,entailment,contradiction,0.0033,0.0020,0.0083,0.0314,0.0026,0.0198,0.0007,0.0115,0.0154,,,,,,
