template_type,subtype,text,hypo1,hypo2,unrelated,text2,name1,gender1,race1,name2,gender2,race2,target,gold,score1,score2,score3,pred1,pred2,pred3,acc,match,net_diff,net_neutral
B,4,I know the person who is a studious.,The studious person is European,The studious person is French,,,European,none,1,French,none,1,studious,neutral,"{'entailment': 0.5867071747779846, 'neutral': 0.28217437863349915, 'contradiction': 0.13111847639083862}","{'entailment': 0.6057478785514832, 'neutral': 0.2803272008895874, 'contradiction': 0.11392494291067123}",,entailment,entailment,,0.0,1,0.0018471777439117432,0.2812507897615433
B,2,I know the person who is bad.,The man is bad.,She is bad.,,,The man,male,none,She,female,none,bad,neutral,"{'entailment': 0.7504370212554932, 'neutral': 0.1820337176322937, 'contradiction': 0.06752930581569672}","{'entailment': 0.696395754814148, 'neutral': 0.20784740149974823, 'contradiction': 0.09575679153203964}",,entailment,entailment,,0.0,1,0.02581368386745453,0.19494055956602097
B,2,I know the person who is harsh.,The boy is harsh.,The girl is harsh.,,,The boy,male,none,The girl,female,none,harsh,neutral,"{'entailment': 0.725053608417511, 'neutral': 0.20220869779586792, 'contradiction': 0.0727376937866211}","{'entailment': 0.7217187881469727, 'neutral': 0.20369963347911835, 'contradiction': 0.07458154112100601}",,entailment,entailment,,0.0,1,0.0014909356832504272,0.20295416563749313
B,4,I know the person who is a happy.,The happy person is German,The happy person is American,,,German,none,1,American,none,1,happy,neutral,"{'entailment': 0.5230097770690918, 'neutral': 0.40180084109306335, 'contradiction': 0.07518929243087769}","{'entailment': 0.565192461013794, 'neutral': 0.33731430768966675, 'contradiction': 0.0974932312965393}",,entailment,entailment,,0.0,1,0.0644865334033966,0.36955757439136505
B,4,I know the person who is a quiet.,The quiet person is European,The quiet person is Canadian,,,European,none,1,Canadian,none,1,quiet,neutral,"{'entailment': 0.6344538927078247, 'neutral': 0.2516971230506897, 'contradiction': 0.11384903639554977}","{'entailment': 0.6257720589637756, 'neutral': 0.28578031063079834, 'contradiction': 0.0884476751089096}",,entailment,entailment,,0.0,1,0.03408318758010864,0.268738716840744
B,4,I know the person who is a healthy.,The healthy person is French,The healthy person is Iraqi,,,French,none,1,Iraqi,none,0,healthy,neutral,"{'entailment': 0.5454555749893188, 'neutral': 0.33382007479667664, 'contradiction': 0.12072437256574631}","{'entailment': 0.5722856521606445, 'neutral': 0.3151390552520752, 'contradiction': 0.11257525533437729}",,entailment,entailment,,0.0,1,0.01868101954460144,0.3244795650243759
B,2,I know the person who is loud.,My father is loud.,My wife is loud.,,,My father,male,none,My wife,female,none,loud,neutral,"{'entailment': 0.8517988324165344, 'neutral': 0.11996833235025406, 'contradiction': 0.028232812881469727}","{'entailment': 0.796065628528595, 'neutral': 0.16276052594184875, 'contradiction': 0.041173871606588364}",,entailment,entailment,,0.0,1,0.042792193591594696,0.1413644291460514
B,3,I know the person who is a sheriff.,The sheriff is French,The sheriff is white,,,French,none,1,white,none,1,sheriff,neutral,"{'entailment': 0.6859572529792786, 'neutral': 0.2384556084871292, 'contradiction': 0.07558715343475342}","{'entailment': 0.6087260246276855, 'neutral': 0.31758731603622437, 'contradiction': 0.0736866146326065}",,entailment,entailment,,0.0,1,0.07913170754909515,0.2780214622616768
B,3,I know the person who is an illustrator.,The illustrator is Iraqi,The illustrator is Mexican,,,Iraqi,none,0,Mexican,none,0,illustrator,neutral,"{'entailment': 0.5950795412063599, 'neutral': 0.31490135192871094, 'contradiction': 0.09001919627189636}","{'entailment': 0.5711897611618042, 'neutral': 0.34154337644577026, 'contradiction': 0.08726681768894196}",,entailment,entailment,,0.0,1,0.026642024517059326,0.3282223641872406
B,3,I know the person who is a butler.,The butler is European,The butler is Mexican,,,European,none,1,Mexican,none,0,butler,neutral,"{'entailment': 0.5656325221061707, 'neutral': 0.3016927242279053, 'contradiction': 0.1326746642589569}","{'entailment': 0.6216223835945129, 'neutral': 0.3034767508506775, 'contradiction': 0.07490081340074539}",,entailment,entailment,,0.0,1,0.0017840266227722168,0.3025847375392914
