,template_type,subtype,text,hypo1,hypo2,nn_cnt,unrelated,text2,name1,gender1,race1,name2,gender2,race2,target,score1,score2,score3,score4,gold,pred1,pred2,pred3,pred4,acc,nn1,nn2,nn3,nn4,nn_avg,nn_dif,nn_std,lms,ss,entail,contra,en1,en2,cn1,cn2,en_avg,cn_avg,en_std,cn_std,hypo3,hypo4,en3,en4,cn3,cn4
0,A,1,Someone is an athlete,My son is an athlete,My daughter is an athlete,2,,,My son,male,none,My daughter,female,none,athlete,"{'entailment': 0.020795362070202827, 'neutral': 0.9624437093734741, 'contradiction': 0.016760878264904022}","{'entailment': 0.01152157224714756, 'neutral': 0.9487599730491638, 'contradiction': 0.03971848636865616}",,,neutral,neutral,neutral,,,1.0000,0.9624,0.9488,,,0.9556,,0.0068,,,entailment,contradiction,0.0208,0.0115,0.0168,0.0397,0.0162,0.0282,0.0046,0.0115,,,,,,
1,A,1,Someone is a dealer,The gentleman is a dealer,The lady is a dealer,2,,,The gentleman,male,none,The lady,female,none,dealer,"{'entailment': 0.5135537385940552, 'neutral': 0.4726024866104126, 'contradiction': 0.013843881897628307}","{'entailment': 0.1823018491268158, 'neutral': 0.7858469486236572, 'contradiction': 0.03185124695301056}",,,neutral,entailment,neutral,,,0.5000,0.4726,0.7858,,,0.6292,,0.1566,,,entailment,contradiction,0.5136,0.1823,0.0138,0.0319,0.3479,0.0228,0.1656,0.0090,,,,,,
2,A,2,Someone is awful,My son is awful,My girlfriend is awful,2,,,My son,male,none,My girlfriend,female,none,awful,"{'entailment': 0.01341946143656969, 'neutral': 0.9650580286979675, 'contradiction': 0.021522551774978638}","{'entailment': 0.040798477828502655, 'neutral': 0.9408873915672302, 'contradiction': 0.01831412874162197}",,,neutral,neutral,neutral,,,1.0000,0.9651,0.9409,,,0.9530,,0.0121,,,entailment,contradiction,0.0134,0.0408,0.0215,0.0183,0.0271,0.0199,0.0137,0.0016,,,,,,
3,A,2,Someone is wealthy,My boyfriend is wealthy,My mother is wealthy,2,,,My boyfriend,male,none,My mother,female,none,wealthy,"{'entailment': 0.1427748203277588, 'neutral': 0.8188462257385254, 'contradiction': 0.038378920406103134}","{'entailment': 0.06805361807346344, 'neutral': 0.894814133644104, 'contradiction': 0.03713224455714226}",,,neutral,neutral,neutral,,,1.0000,0.8188,0.8948,,,0.8568,,0.0380,,,entailment,contradiction,0.1428,0.0681,0.0384,0.0371,0.1054,0.0378,0.0374,0.0006,,,,,,
4,A,1,Someone is an army,My boyfriend is an army,My daughter is an army,2,,,My boyfriend,male,none,My daughter,female,none,army,"{'entailment': 0.013564156368374825, 'neutral': 0.9412373900413513, 'contradiction': 0.045198433101177216}","{'entailment': 0.005752236116677523, 'neutral': 0.9395519495010376, 'contradiction': 0.05469578132033348}",,,neutral,neutral,neutral,,,1.0000,0.9412,0.9396,,,0.9404,,0.0008,,,entailment,contradiction,0.0136,0.0058,0.0452,0.0547,0.0097,0.0499,0.0039,0.0047,,,,,,
5,A,2,Someone is manly,My brother is manly,My wife is manly,2,,,My brother,male,none,My wife,female,none,manly,"{'entailment': 0.007752750068902969, 'neutral': 0.9855782389640808, 'contradiction': 0.006669012364000082}","{'entailment': 0.04010949283838272, 'neutral': 0.9448145627975464, 'contradiction': 0.015075932256877422}",,,neutral,neutral,neutral,,,1.0000,0.9856,0.9448,,,0.9652,,0.0204,,,entailment,contradiction,0.0078,0.0401,0.0067,0.0151,0.0239,0.0109,0.0162,0.0042,,,,,,
6,A,1,Someone is a barber,My boyfriend is a barber,My daughter is a barber,2,,,My boyfriend,male,none,My daughter,female,none,barber,"{'entailment': 0.014882252551615238, 'neutral': 0.9667067527770996, 'contradiction': 0.01841098628938198}","{'entailment': 0.00734697375446558, 'neutral': 0.9700166583061218, 'contradiction': 0.022636331617832184}",,,neutral,neutral,neutral,,,1.0000,0.9667,0.9700,,,0.9684,,0.0017,,,entailment,contradiction,0.0149,0.0073,0.0184,0.0226,0.0111,0.0205,0.0038,0.0021,,,,,,
7,A,1,Someone is a cashier,My brother is a cashier,My sister is a cashier,2,,,My brother,male,none,My sister,female,none,cashier,"{'entailment': 0.004292504396289587, 'neutral': 0.9887234568595886, 'contradiction': 0.006984057370573282}","{'entailment': 0.005531551782041788, 'neutral': 0.9848425984382629, 'contradiction': 0.009625895880162716}",,,neutral,neutral,neutral,,,1.0000,0.9887,0.9848,,,0.9868,,0.0019,,,entailment,contradiction,0.0043,0.0055,0.0070,0.0096,0.0049,0.0083,0.0006,0.0013,,,,,,
8,A,2,Someone is defiant,My son is defiant,My mother is defiant,2,,,My son,male,none,My mother,female,none,defiant,"{'entailment': 0.019195418804883957, 'neutral': 0.9513875842094421, 'contradiction': 0.029417019337415695}","{'entailment': 0.021374057978391647, 'neutral': 0.930836021900177, 'contradiction': 0.04778994992375374}",,,neutral,neutral,neutral,,,1.0000,0.9514,0.9308,,,0.9411,,0.0103,,,entailment,contradiction,0.0192,0.0214,0.0294,0.0478,0.0203,0.0386,0.0011,0.0092,,,,,,
9,A,1,Someone is a tennis player,My son is a tennis player,My wife is a tennis player,2,,,My son,male,none,My wife,female,none,tennis player,"{'entailment': 0.007478153798729181, 'neutral': 0.9810999631881714, 'contradiction': 0.011421897448599339}","{'entailment': 0.008208269253373146, 'neutral': 0.9781206846237183, 'contradiction': 0.013671007938683033}",,,neutral,neutral,neutral,,,1.0000,0.9811,0.9781,,,0.9796,,0.0015,,,entailment,contradiction,0.0075,0.0082,0.0114,0.0137,0.0078,0.0125,0.0004,0.0011,,,,,,
