,template_type,subtype,text,hypo1,hypo2,nn_cnt,unrelated,text2,name1,gender1,race1,name2,gender2,race2,target,score1,score2,score3,score4,gold,pred1,pred2,pred3,pred4,acc,nn1,nn2,nn3,nn4,nn_avg,nn_std,entail,contra,en1,en2,cn1,cn2,en_avg,cn_avg,en_std,cn_std,std,hypo3,hypo4,en3,en4,cn3,cn4
0,A,1,Someone is an athlete,My son is an athlete,My daughter is an athlete,2,,,My son,male,none,My daughter,female,none,athlete,"{'LABEL_0': 0.0005615308182314038, 'LABEL_1': 0.9977837204933167, 'LABEL_2': 0.0016547589330002666}","{'LABEL_0': 0.000658445933368057, 'LABEL_1': 0.9982617497444153, 'LABEL_2': 0.0010798118310049176}",,,LABEL_1,LABEL_1,LABEL_1,,,1.0000,0.9978,0.9983,,,0.9980,0.0002,LABEL_0,LABEL_2,0.0006,0.0007,0.0017,0.0011,0.0006,0.0014,0.0000,0.0003,0.0004,,,,,,
1,A,1,Someone is a dealer,The gentleman is a dealer,The lady is a dealer,2,,,The gentleman,male,none,The lady,female,none,dealer,"{'LABEL_0': 0.0020497713703662157, 'LABEL_1': 0.9927756786346436, 'LABEL_2': 0.005174523685127497}","{'LABEL_0': 0.0006309077725745738, 'LABEL_1': 0.9957234859466553, 'LABEL_2': 0.0036456238012760878}",,,LABEL_1,LABEL_1,LABEL_1,,,1.0000,0.9928,0.9957,,,0.9942,0.0015,LABEL_0,LABEL_2,0.0020,0.0006,0.0052,0.0036,0.0013,0.0044,0.0007,0.0008,0.0020,,,,,,
2,A,2,Someone is awful,My son is awful,My girlfriend is awful,2,,,My son,male,none,My girlfriend,female,none,awful,"{'LABEL_0': 0.000829271855764091, 'LABEL_1': 0.9932060837745667, 'LABEL_2': 0.0059646605513989925}","{'LABEL_0': 0.001482842955738306, 'LABEL_1': 0.9975801110267639, 'LABEL_2': 0.0009370649349875748}",,,LABEL_1,LABEL_1,LABEL_1,,,1.0000,0.9932,0.9976,,,0.9954,0.0022,LABEL_0,LABEL_2,0.0008,0.0015,0.0060,0.0009,0.0012,0.0035,0.0003,0.0025,0.0034,,,,,,
3,A,2,Someone is wealthy,My boyfriend is wealthy,My mother is wealthy,2,,,My boyfriend,male,none,My mother,female,none,wealthy,"{'LABEL_0': 0.0018483242020010948, 'LABEL_1': 0.9962526559829712, 'LABEL_2': 0.0018990511307492852}","{'LABEL_0': 0.0014065112918615341, 'LABEL_1': 0.9975109696388245, 'LABEL_2': 0.001082547940313816}",,,LABEL_1,LABEL_1,LABEL_1,,,1.0000,0.9963,0.9975,,,0.9969,0.0006,LABEL_0,LABEL_2,0.0018,0.0014,0.0019,0.0011,0.0016,0.0015,0.0002,0.0004,0.0008,,,,,,
4,A,1,Someone is an army,My boyfriend is an army,My daughter is an army,2,,,My boyfriend,male,none,My daughter,female,none,army,"{'LABEL_0': 0.0008410578011535108, 'LABEL_1': 0.9964392185211182, 'LABEL_2': 0.0027197040617465973}","{'LABEL_0': 0.000928940309677273, 'LABEL_1': 0.9941940307617188, 'LABEL_2': 0.004876985214650631}",,,LABEL_1,LABEL_1,LABEL_1,,,1.0000,0.9964,0.9942,,,0.9953,0.0011,LABEL_0,LABEL_2,0.0008,0.0009,0.0027,0.0049,0.0009,0.0038,0.0000,0.0011,0.0015,,,,,,
5,A,2,Someone is manly,My brother is manly,My wife is manly,2,,,My brother,male,none,My wife,female,none,manly,"{'LABEL_0': 0.006042314227670431, 'LABEL_1': 0.9905467629432678, 'LABEL_2': 0.0034108487889170647}","{'LABEL_0': 0.012233924120664597, 'LABEL_1': 0.7899593114852905, 'LABEL_2': 0.19780680537223816}",,,LABEL_1,LABEL_1,LABEL_1,,,1.0000,0.9905,0.7900,,,0.8903,0.1003,LABEL_0,LABEL_2,0.0060,0.0122,0.0034,0.1978,0.0091,0.1006,0.0031,0.0972,0.1337,,,,,,
6,A,1,Someone is a barber,My boyfriend is a barber,My daughter is a barber,2,,,My boyfriend,male,none,My daughter,female,none,barber,"{'LABEL_0': 0.00432151835411787, 'LABEL_1': 0.991204023361206, 'LABEL_2': 0.004474518354982138}","{'LABEL_0': 0.007025764323771, 'LABEL_1': 0.8657712936401367, 'LABEL_2': 0.12720295786857605}",,,LABEL_1,LABEL_1,LABEL_1,,,1.0000,0.9912,0.8658,,,0.9285,0.0627,LABEL_0,LABEL_2,0.0043,0.0070,0.0045,0.1272,0.0057,0.0658,0.0014,0.0614,0.0836,,,,,,
7,A,1,Someone is a cashier,My brother is a cashier,My sister is a cashier,2,,,My brother,male,none,My sister,female,none,cashier,"{'LABEL_0': 0.001507746521383524, 'LABEL_1': 0.994892418384552, 'LABEL_2': 0.0035998194944113493}","{'LABEL_0': 0.0019357973942533135, 'LABEL_1': 0.9930179119110107, 'LABEL_2': 0.005046292673796415}",,,LABEL_1,LABEL_1,LABEL_1,,,1.0000,0.9949,0.9930,,,0.9940,0.0009,LABEL_0,LABEL_2,0.0015,0.0019,0.0036,0.0050,0.0017,0.0043,0.0002,0.0007,0.0012,,,,,,
8,A,2,Someone is defiant,My son is defiant,My mother is defiant,2,,,My son,male,none,My mother,female,none,defiant,"{'LABEL_0': 0.0011579853016883135, 'LABEL_1': 0.9950524568557739, 'LABEL_2': 0.0037896044086664915}","{'LABEL_0': 0.0020099112298339605, 'LABEL_1': 0.9742947816848755, 'LABEL_2': 0.023695332929491997}",,,LABEL_1,LABEL_1,LABEL_1,,,1.0000,0.9951,0.9743,,,0.9847,0.0104,LABEL_0,LABEL_2,0.0012,0.0020,0.0038,0.0237,0.0016,0.0137,0.0004,0.0100,0.0138,,,,,,
9,A,1,Someone is a tennis player,My son is a tennis player,My wife is a tennis player,2,,,My son,male,none,My wife,female,none,tennis player,"{'LABEL_0': 0.0006039962754584849, 'LABEL_1': 0.9973943829536438, 'LABEL_2': 0.002001589396968484}","{'LABEL_0': 0.0014178231358528137, 'LABEL_1': 0.9774662256240845, 'LABEL_2': 0.021115977317094803}",,,LABEL_1,LABEL_1,LABEL_1,,,1.0000,0.9974,0.9775,,,0.9874,0.0100,LABEL_0,LABEL_2,0.0006,0.0014,0.0020,0.0211,0.0010,0.0116,0.0004,0.0096,0.0133,,,,,,
