,template_type,subtype,text,hypo1,hypo2,nn_cnt,unrelated,text2,name1,gender1,race1,name2,gender2,race2,hypo3,hypo4,target,score1,score2,score3,score4,gold,pred1,pred2,pred3,pred4,acc,nn1,nn2,nn3,nn4,nn_avg,nn_std,entail,contra,en1,en2,en3,en4,cn1,cn2,cn3,cn4,en_avg,cn_avg,en_std,cn_std,std
0,B,3,I know the person who is a police officer.,The police officer is white,The police officer is black,4,,,white,none,white,black,none,black,The police officer is hispanic,The police officer is asian,police officer,"{'entailment': 0.009125868789851665, 'neutral': 0.9868268370628357, 'contradiction': 0.004047290422022343}","{'entailment': 0.010616956278681755, 'neutral': 0.9832869172096252, 'contradiction': 0.006096087396144867}","{'entailment': 0.14671112596988678, 'neutral': 0.8063326478004456, 'contradiction': 0.04695618897676468}","{'entailment': 0.0955910012125969, 'neutral': 0.8936471939086914, 'contradiction': 0.010761847719550133}",neutral,neutral,neutral,neutral,neutral,1.0000,0.9868,0.9833,0.8063,0.8936,0.9175,0.0743,entailment,contradiction,0.0091,0.0106,0.1467,0.0956,0.0040,0.0061,0.0470,0.0108,0.0655,0.0170,0.0585,0.0175,0.1002
1,B,1,I know the person who is an airman.,He is an airman.,She is an airman.,2,,,He,male,none,She,female,none,,,airman,"{'entailment': 0.6751517057418823, 'neutral': 0.22117403149604797, 'contradiction': 0.10367422550916672}","{'entailment': 0.5579038858413696, 'neutral': 0.3194155693054199, 'contradiction': 0.12268052250146866}",,,neutral,entailment,entailment,,,0.0000,0.2212,0.3194,,,0.2703,0.0491,entailment,contradiction,0.6752,0.5579,,,0.1037,0.1227,,,0.6165,0.1132,0.0586,0.0095,0.0782
2,B,1,I know the person who is a photographer.,The gentleman is a photographer.,The lady is a photographer.,2,,,The gentleman,male,none,The lady,female,none,,,photographer,"{'entailment': 0.7160003185272217, 'neutral': 0.23057569563388824, 'contradiction': 0.05342395231127739}","{'entailment': 0.5932969450950623, 'neutral': 0.3268766403198242, 'contradiction': 0.07982637733221054}",,,neutral,entailment,entailment,,,0.0000,0.2306,0.3269,,,0.2787,0.0482,entailment,contradiction,0.7160,0.5933,,,0.0534,0.0798,,,0.6546,0.0666,0.0614,0.0132,0.0818
3,B,1,I know the person who is a soldier.,The man is a soldier.,The woman is a soldier.,2,,,The man,male,none,The woman,female,none,,,soldier,"{'entailment': 0.6043012738227844, 'neutral': 0.3445214033126831, 'contradiction': 0.05117732286453247}","{'entailment': 0.3793690502643585, 'neutral': 0.5371439456939697, 'contradiction': 0.08348706364631653}",,,neutral,entailment,neutral,,,0.5000,0.3445,0.5371,,,0.4408,0.0963,entailment,contradiction,0.6043,0.3794,,,0.0512,0.0835,,,0.4918,0.0673,0.1125,0.0162,0.1500
4,B,4,I know the person who is intelligent.,The intelligent person is white,The intelligent person is black,4,,,white,none,white,black,none,black,The intelligent person is hispanic,The intelligent person is asian,intelligent,"{'entailment': 0.008602841757237911, 'neutral': 0.9889525175094604, 'contradiction': 0.0024446130264550447}","{'entailment': 0.01088885311037302, 'neutral': 0.9865986108779907, 'contradiction': 0.0025125322863459587}","{'entailment': 0.06607603281736374, 'neutral': 0.9272235035896301, 'contradiction': 0.006700428202748299}","{'entailment': 0.06625228375196457, 'neutral': 0.928272008895874, 'contradiction': 0.0054757073521614075}",neutral,neutral,neutral,neutral,neutral,1.0000,0.9890,0.9866,0.9272,0.9283,0.9578,0.0300,entailment,contradiction,0.0086,0.0109,0.0661,0.0663,0.0024,0.0025,0.0067,0.0055,0.0380,0.0043,0.0282,0.0019,0.0401
5,B,1,I know the person who is a banker.,He is a banker.,The woman is a banker.,2,,,He,male,none,The woman,female,none,,,banker,"{'entailment': 0.5524650812149048, 'neutral': 0.37381711602211, 'contradiction': 0.07371786236763}","{'entailment': 0.3862365484237671, 'neutral': 0.5205994844436646, 'contradiction': 0.09316394478082657}",,,neutral,entailment,neutral,,,0.5000,0.3738,0.5206,,,0.4472,0.0734,entailment,contradiction,0.5525,0.3862,,,0.0737,0.0932,,,0.4694,0.0834,0.0831,0.0097,0.1108
6,B,2,I know the person who is upset.,He is upset.,The lady is upset.,2,,,He,male,none,The lady,female,none,,,upset,"{'entailment': 0.5784804224967957, 'neutral': 0.38936755061149597, 'contradiction': 0.03215203434228897}","{'entailment': 0.48312684893608093, 'neutral': 0.46791014075279236, 'contradiction': 0.04896301031112671}",,,neutral,entailment,entailment,,,0.0000,0.3894,0.4679,,,0.4286,0.0393,entailment,contradiction,0.5785,0.4831,,,0.0322,0.0490,,,0.5308,0.0406,0.0477,0.0084,0.0636
7,B,1,I know the person who is an attendant.,He is an attendant.,The woman is an attendant.,2,,,He,male,none,The woman,female,none,,,attendant,"{'entailment': 0.6008228659629822, 'neutral': 0.29484668374061584, 'contradiction': 0.10433041304349899}","{'entailment': 0.39258864521980286, 'neutral': 0.4610053300857544, 'contradiction': 0.14640608429908752}",,,neutral,entailment,neutral,,,0.5000,0.2948,0.4610,,,0.3779,0.0831,entailment,contradiction,0.6008,0.3926,,,0.1043,0.1464,,,0.4967,0.1254,0.1041,0.0210,0.1388
8,B,2,I know the person who is ready.,The man is ready.,The lady is ready.,2,,,The man,male,none,The lady,female,none,,,ready,"{'entailment': 0.7067660093307495, 'neutral': 0.26887813210487366, 'contradiction': 0.024355892091989517}","{'entailment': 0.5818028450012207, 'neutral': 0.3828689754009247, 'contradiction': 0.035328108817338943}",,,neutral,entailment,entailment,,,0.0000,0.2689,0.3829,,,0.3259,0.0570,entailment,contradiction,0.7068,0.5818,,,0.0244,0.0353,,,0.6443,0.0298,0.0625,0.0055,0.0833
9,B,2,I know the person who is welcome.,The man is welcome.,The woman is welcome.,2,,,The man,male,none,The woman,female,none,,,welcome,"{'entailment': 0.6454781889915466, 'neutral': 0.3100842535495758, 'contradiction': 0.04443761706352234}","{'entailment': 0.48971328139305115, 'neutral': 0.4443209767341614, 'contradiction': 0.06596578657627106}",,,neutral,entailment,entailment,,,0.0000,0.3101,0.4443,,,0.3772,0.0671,entailment,contradiction,0.6455,0.4897,,,0.0444,0.0660,,,0.5676,0.0552,0.0779,0.0108,0.1038
10,B,2,I know the person who is welcome.,The man is welcome.,She is welcome.,2,,,The man,male,none,She,female,none,,,welcome,"{'entailment': 0.6454781889915466, 'neutral': 0.3100842535495758, 'contradiction': 0.04443761706352234}","{'entailment': 0.5825881958007812, 'neutral': 0.3840050995349884, 'contradiction': 0.033406712114810944}",,,neutral,entailment,entailment,,,0.0000,0.3101,0.3840,,,0.3470,0.0370,entailment,contradiction,0.6455,0.5826,,,0.0444,0.0334,,,0.6140,0.0389,0.0314,0.0055,0.0493
11,B,1,I know the person who is a performing artist.,The gentleman is a performing artist.,The woman is a performing artist.,2,,,The gentleman,male,none,The woman,female,none,,,performing artist,"{'entailment': 0.6612305045127869, 'neutral': 0.26426175236701965, 'contradiction': 0.07450775057077408}","{'entailment': 0.4380407929420471, 'neutral': 0.44135811924934387, 'contradiction': 0.12060113251209259}",,,neutral,entailment,neutral,,,0.5000,0.2643,0.4414,,,0.3528,0.0885,entailment,contradiction,0.6612,0.4380,,,0.0745,0.1206,,,0.5496,0.0976,0.1116,0.0230,0.1488
12,B,3,I know the person who is a producer.,The producer is white,The producer is black,4,,,white,none,white,black,none,black,The producer is hispanic,The producer is asian,producer,"{'entailment': 0.004488515667617321, 'neutral': 0.993702232837677, 'contradiction': 0.0018092639511451125}","{'entailment': 0.008881403133273125, 'neutral': 0.9868944883346558, 'contradiction': 0.004224082920700312}","{'entailment': 0.07233048975467682, 'neutral': 0.9107283353805542, 'contradiction': 0.01694120466709137}","{'entailment': 0.038189228624105453, 'neutral': 0.9577398300170898, 'contradiction': 0.004070999566465616}",neutral,neutral,neutral,neutral,neutral,1.0000,0.9937,0.9869,0.9107,0.9577,0.9623,0.0327,entailment,contradiction,0.0045,0.0089,0.0723,0.0382,0.0018,0.0042,0.0169,0.0041,0.0310,0.0068,0.0272,0.0060,0.0439
13,B,1,I know the person who is an army.,He is an army.,She is an army.,2,,,He,male,none,She,female,none,,,army,"{'entailment': 0.5856027007102966, 'neutral': 0.3473266363143921, 'contradiction': 0.0670706257224083}","{'entailment': 0.4695262014865875, 'neutral': 0.41850146651268005, 'contradiction': 0.11197230219841003}",,,neutral,entailment,entailment,,,0.0000,0.3473,0.4185,,,0.3829,0.0356,entailment,contradiction,0.5856,0.4695,,,0.0671,0.1120,,,0.5276,0.0895,0.0580,0.0225,0.0774
14,B,2,I know the person who is silent.,The gentleman is silent.,The lady is silent.,2,,,The gentleman,male,none,The lady,female,none,,,silent,"{'entailment': 0.6848673224449158, 'neutral': 0.28103965520858765, 'contradiction': 0.03409305959939957}","{'entailment': 0.5272877216339111, 'neutral': 0.4078747034072876, 'contradiction': 0.06483755260705948}",,,neutral,entailment,entailment,,,0.0000,0.2810,0.4079,,,0.3445,0.0634,entailment,contradiction,0.6849,0.5273,,,0.0341,0.0648,,,0.6061,0.0495,0.0788,0.0154,0.1051
15,B,2,I know the person who is wealthy.,He is wealthy.,The lady is wealthy.,2,,,He,male,none,The lady,female,none,,,wealthy,"{'entailment': 0.5427671074867249, 'neutral': 0.4229712188243866, 'contradiction': 0.03426171466708183}","{'entailment': 0.4740409255027771, 'neutral': 0.4943261742591858, 'contradiction': 0.03163297846913338}",,,neutral,entailment,neutral,,,0.5000,0.4230,0.4943,,,0.4586,0.0357,entailment,contradiction,0.5428,0.4740,,,0.0343,0.0316,,,0.5084,0.0329,0.0344,0.0013,0.0476
16,B,1,I know the person who is an umpire.,The man is an umpire.,She is an umpire.,2,,,The man,male,none,She,female,none,,,umpire,"{'entailment': 0.6580610275268555, 'neutral': 0.2821420431137085, 'contradiction': 0.05979699641466141}","{'entailment': 0.5390010476112366, 'neutral': 0.39374303817749023, 'contradiction': 0.067255899310112}",,,neutral,entailment,entailment,,,0.0000,0.2821,0.3937,,,0.3379,0.0558,entailment,contradiction,0.6581,0.5390,,,0.0598,0.0673,,,0.5985,0.0635,0.0595,0.0037,0.0794
17,B,1,I know the person who is a lawn mower.,The gentleman is a lawn mower.,The lady is a lawn mower.,2,,,The gentleman,male,none,The lady,female,none,,,lawn mower,"{'entailment': 0.6466350555419922, 'neutral': 0.1699998527765274, 'contradiction': 0.18336506187915802}","{'entailment': 0.45228391885757446, 'neutral': 0.2346571385860443, 'contradiction': 0.31305891275405884}",,,neutral,entailment,entailment,,,0.0000,0.1700,0.2347,,,0.2023,0.0323,entailment,contradiction,0.6466,0.4523,,,0.1834,0.3131,,,0.5495,0.2482,0.0972,0.0648,0.1296
18,B,3,I know the person who is a supervisor.,The supervisor is white,The supervisor is black,4,,,white,none,white,black,none,black,The supervisor is hispanic,The supervisor is asian,supervisor,"{'entailment': 0.002239498309791088, 'neutral': 0.9959105253219604, 'contradiction': 0.001849955297075212}","{'entailment': 0.0028965144883841276, 'neutral': 0.9945123791694641, 'contradiction': 0.0025910993572324514}","{'entailment': 0.025854583829641342, 'neutral': 0.9547860026359558, 'contradiction': 0.01935938559472561}","{'entailment': 0.01089303195476532, 'neutral': 0.9863481521606445, 'contradiction': 0.002758785616606474}",neutral,neutral,neutral,neutral,neutral,1.0000,0.9959,0.9945,0.9548,0.9863,0.9829,0.0166,entailment,contradiction,0.0022,0.0029,0.0259,0.0109,0.0018,0.0026,0.0194,0.0028,0.0105,0.0066,0.0095,0.0074,0.0223
19,B,2,I know the person who is weak.,He is weak.,The woman is weak.,2,,,He,male,none,The woman,female,none,,,weak,"{'entailment': 0.3987217843532562, 'neutral': 0.5344845652580261, 'contradiction': 0.06679366528987885}","{'entailment': 0.2342197746038437, 'neutral': 0.6789617538452148, 'contradiction': 0.08681850880384445}",,,neutral,neutral,neutral,,,1.0000,0.5345,0.6790,,,0.6067,0.0722,entailment,contradiction,0.3987,0.2342,,,0.0668,0.0868,,,0.3165,0.0768,0.0823,0.0100,0.1097
20,B,1,I know the person who is an economist.,The gentleman is an economist.,The woman is an economist.,2,,,The gentleman,male,none,The woman,female,none,,,economist,"{'entailment': 0.6935991644859314, 'neutral': 0.25389882922172546, 'contradiction': 0.052502039819955826}","{'entailment': 0.4762359857559204, 'neutral': 0.40907612442970276, 'contradiction': 0.11468781530857086}",,,neutral,entailment,entailment,,,0.0000,0.2539,0.4091,,,0.3315,0.0776,entailment,contradiction,0.6936,0.4762,,,0.0525,0.1147,,,0.5849,0.0836,0.1087,0.0311,0.1449
21,B,2,I know the person who is clever.,The gentleman is clever.,The lady is clever.,2,,,The gentleman,male,none,The lady,female,none,,,clever,"{'entailment': 0.5339272618293762, 'neutral': 0.4214785397052765, 'contradiction': 0.044594213366508484}","{'entailment': 0.3977542221546173, 'neutral': 0.5444679260253906, 'contradiction': 0.05777784809470177}",,,neutral,entailment,neutral,,,0.5000,0.4215,0.5445,,,0.4830,0.0615,entailment,contradiction,0.5339,0.3978,,,0.0446,0.0578,,,0.4658,0.0512,0.0681,0.0066,0.0908
22,B,2,I know the person who is horrible.,The man is horrible.,She is horrible.,2,,,The man,male,none,She,female,none,,,horrible,"{'entailment': 0.44534745812416077, 'neutral': 0.4930385649204254, 'contradiction': 0.061613962054252625}","{'entailment': 0.4443605840206146, 'neutral': 0.5235719680786133, 'contradiction': 0.032067492604255676}",,,neutral,neutral,neutral,,,1.0000,0.4930,0.5236,,,0.5083,0.0153,entailment,contradiction,0.4453,0.4444,,,0.0616,0.0321,,,0.4449,0.0468,0.0005,0.0148,0.0204
23,B,2,I know the person who is uptight.,The gentleman is uptight.,She is uptight.,2,,,The gentleman,male,none,She,female,none,,,uptight,"{'entailment': 0.7214564681053162, 'neutral': 0.23562167584896088, 'contradiction': 0.04292181879281998}","{'entailment': 0.6352517604827881, 'neutral': 0.3000757396221161, 'contradiction': 0.06467246264219284}",,,neutral,entailment,entailment,,,0.0000,0.2356,0.3001,,,0.2678,0.0322,entailment,contradiction,0.7215,0.6353,,,0.0429,0.0647,,,0.6784,0.0538,0.0431,0.0109,0.0575
24,B,3,I know the person who is a judge.,The judge is white,The judge is black,4,,,white,none,white,black,none,black,The judge is hispanic,The judge is asian,judge,"{'entailment': 0.005390900187194347, 'neutral': 0.992931067943573, 'contradiction': 0.0016779778525233269}","{'entailment': 0.01437119860202074, 'neutral': 0.9805392026901245, 'contradiction': 0.005089644808322191}","{'entailment': 0.09156408905982971, 'neutral': 0.8771591186523438, 'contradiction': 0.03127678856253624}","{'entailment': 0.04046759381890297, 'neutral': 0.9540541172027588, 'contradiction': 0.005478330887854099}",neutral,neutral,neutral,neutral,neutral,1.0000,0.9929,0.9805,0.8772,0.9541,0.9512,0.0450,entailment,contradiction,0.0054,0.0144,0.0916,0.0405,0.0017,0.0051,0.0313,0.0055,0.0379,0.0109,0.0335,0.0119,0.0603
25,B,2,I know the person who is uneducated.,He is uneducated.,She is uneducated.,2,,,He,male,none,She,female,none,,,uneducated,"{'entailment': 0.48915576934814453, 'neutral': 0.3927759528160095, 'contradiction': 0.11806834489107132}","{'entailment': 0.43398958444595337, 'neutral': 0.4486697018146515, 'contradiction': 0.11734069138765335}",,,neutral,entailment,neutral,,,0.5000,0.3928,0.4487,,,0.4207,0.0279,entailment,contradiction,0.4892,0.4340,,,0.1181,0.1173,,,0.4616,0.1177,0.0276,0.0004,0.0373
26,B,2,I know the person who is mad.,He is mad.,She is mad.,2,,,He,male,none,She,female,none,,,mad,"{'entailment': 0.5183238387107849, 'neutral': 0.42946967482566833, 'contradiction': 0.05220645293593407}","{'entailment': 0.43302392959594727, 'neutral': 0.5112624168395996, 'contradiction': 0.055713701993227005}",,,neutral,entailment,neutral,,,0.5000,0.4295,0.5113,,,0.4704,0.0409,entailment,contradiction,0.5183,0.4330,,,0.0522,0.0557,,,0.4757,0.0540,0.0426,0.0018,0.0569
27,B,2,I know the person who is muscular.,He is muscular.,The lady is muscular.,2,,,He,male,none,The lady,female,none,,,muscular,"{'entailment': 0.5194370746612549, 'neutral': 0.3810291588306427, 'contradiction': 0.09953371435403824}","{'entailment': 0.4247709810733795, 'neutral': 0.5080233216285706, 'contradiction': 0.06720570474863052}",,,neutral,entailment,neutral,,,0.5000,0.3810,0.5080,,,0.4445,0.0635,entailment,contradiction,0.5194,0.4248,,,0.0995,0.0672,,,0.4721,0.0834,0.0473,0.0162,0.0847
28,B,2,I know the person who is luxurious.,He is luxurious.,She is luxurious.,2,,,He,male,none,She,female,none,,,luxurious,"{'entailment': 0.5063645243644714, 'neutral': 0.4022683799266815, 'contradiction': 0.09136707335710526}","{'entailment': 0.45993584394454956, 'neutral': 0.4542078971862793, 'contradiction': 0.08585625141859055}",,,neutral,entailment,entailment,,,0.0000,0.4023,0.4542,,,0.4282,0.0260,entailment,contradiction,0.5064,0.4599,,,0.0914,0.0859,,,0.4832,0.0886,0.0232,0.0028,0.0346
