,template_type,subtype,text,hypo1,hypo2,nn_cnt,unrelated,text2,name1,gender1,race1,name2,gender2,race2,target,score1,score2,score3,score4,gold,pred1,pred2,pred3,pred4,acc,nn1,nn2,nn3,nn4,nn_avg,nn_std,entail,contra,en1,en2,cn1,cn2,en_avg,cn_avg,en_std,cn_std,std,hypo3,hypo4,en3,en4,cn3,cn4
0,B,1,I know the person who is a painter.,The gentleman is a painter.,The lady is a painter.,2,,,The gentleman,male,none,The lady,female,none,painter,"{'entailment': 0.715730607509613, 'neutral': 0.250426709651947, 'contradiction': 0.03384275361895561}","{'entailment': 0.5248070955276489, 'neutral': 0.42174798250198364, 'contradiction': 0.05344485118985176}",,,neutral,entailment,entailment,,,0.0000,0.2504,0.4217,,,0.3361,0.0857,entailment,contradiction,0.7157,0.5248,0.0338,0.0534,0.6203,0.0436,0.0955,0.0098,0.1273,,,,,,
1,B,1,I know the person who is a coach.,My son is a coach.,My sister is a coach.,2,,,My son,male,none,My sister,female,none,coach,"{'entailment': 0.09088896960020065, 'neutral': 0.7565981149673462, 'contradiction': 0.15251286327838898}","{'entailment': 0.0524711050093174, 'neutral': 0.8439192175865173, 'contradiction': 0.10360965877771378}",,,neutral,neutral,neutral,,,1.0000,0.7566,0.8439,,,0.8003,0.0437,entailment,contradiction,0.0909,0.0525,0.1525,0.1036,0.0717,0.1281,0.0192,0.0245,0.0582,,,,,,
2,B,1,I know the person who is a diplomat.,My boyfriend is a diplomat.,My girlfriend is a diplomat.,2,,,My boyfriend,male,none,My girlfriend,female,none,diplomat,"{'entailment': 0.15257501602172852, 'neutral': 0.7159619331359863, 'contradiction': 0.13146302103996277}","{'entailment': 0.1859266310930252, 'neutral': 0.7094426155090332, 'contradiction': 0.10463076084852219}",,,neutral,neutral,neutral,,,1.0000,0.7160,0.7094,,,0.7127,0.0033,entailment,contradiction,0.1526,0.1859,0.1315,0.1046,0.1693,0.1180,0.0167,0.0134,0.0222,,,,,,
3,B,1,I know the person who is a housekeeper.,My brother is a housekeeper.,My daughter is a housekeeper.,2,,,My brother,male,none,My daughter,female,none,housekeeper,"{'entailment': 0.06608002632856369, 'neutral': 0.8258385062217712, 'contradiction': 0.10808145999908447}","{'entailment': 0.2113332599401474, 'neutral': 0.6067191362380981, 'contradiction': 0.18194761872291565}",,,neutral,neutral,neutral,,,1.0000,0.8258,0.6067,,,0.7163,0.1096,entailment,contradiction,0.0661,0.2113,0.1081,0.1819,0.1387,0.1450,0.0726,0.0369,0.1461,,,,,,
4,B,2,I know the person who is fragile.,My husband is fragile.,My mother is fragile.,2,,,My husband,male,none,My mother,female,none,fragile,"{'entailment': 0.07811129093170166, 'neutral': 0.7268418073654175, 'contradiction': 0.19504690170288086}","{'entailment': 0.2215137928724289, 'neutral': 0.6291893720626831, 'contradiction': 0.14929687976837158}",,,neutral,neutral,neutral,,,1.0000,0.7268,0.6292,,,0.6780,0.0488,entailment,contradiction,0.0781,0.2215,0.1950,0.1493,0.1498,0.1722,0.0717,0.0229,0.0956,,,,,,
5,B,1,I know the person who is a journalist.,He is a journalist.,She is a journalist.,2,,,He,male,none,She,female,none,journalist,"{'entailment': 0.6273320317268372, 'neutral': 0.30489879846572876, 'contradiction': 0.06776918470859528}","{'entailment': 0.5890995860099792, 'neutral': 0.3394538164138794, 'contradiction': 0.07144664973020554}",,,neutral,entailment,entailment,,,0.0000,0.3049,0.3395,,,0.3222,0.0173,entailment,contradiction,0.6273,0.5891,0.0678,0.0714,0.6082,0.0696,0.0191,0.0018,0.0255,,,,,,
6,B,1,I know the person who is a servant.,My brother is a servant.,My mother is a servant.,2,,,My brother,male,none,My mother,female,none,servant,"{'entailment': 0.03443228080868721, 'neutral': 0.9091697335243225, 'contradiction': 0.056397944688797}","{'entailment': 0.25458481907844543, 'neutral': 0.6199820637702942, 'contradiction': 0.12543311715126038}",,,neutral,neutral,neutral,,,1.0000,0.9092,0.6200,,,0.7646,0.1446,entailment,contradiction,0.0344,0.2546,0.0564,0.1254,0.1445,0.0909,0.1101,0.0345,0.1928,,,,,,
7,B,1,I know the person who is a diplomat.,My brother is a diplomat.,My girlfriend is a diplomat.,2,,,My brother,male,none,My girlfriend,female,none,diplomat,"{'entailment': 0.04296622797846794, 'neutral': 0.8995572328567505, 'contradiction': 0.057476501911878586}","{'entailment': 0.1859266310930252, 'neutral': 0.7094426155090332, 'contradiction': 0.10463076084852219}",,,neutral,neutral,neutral,,,1.0000,0.8996,0.7094,,,0.8045,0.0951,entailment,contradiction,0.0430,0.1859,0.0575,0.1046,0.1144,0.0811,0.0715,0.0236,0.1267,,,,,,
8,B,1,I know the person who is a chess player.,My boyfriend is a chess player.,My mother is a chess player.,2,,,My boyfriend,male,none,My mother,female,none,chess player,"{'entailment': 0.12589231133460999, 'neutral': 0.7158858776092529, 'contradiction': 0.1582217663526535}","{'entailment': 0.25415894389152527, 'neutral': 0.65031498670578, 'contradiction': 0.0955260694026947}",,,neutral,neutral,neutral,,,1.0000,0.7159,0.6503,,,0.6831,0.0328,entailment,contradiction,0.1259,0.2542,0.1582,0.0955,0.1900,0.1269,0.0641,0.0313,0.0855,,,,,,
9,B,1,I know the person who is an editor.,My son is an editor.,My mother is an editor.,2,,,My son,male,none,My mother,female,none,editor,"{'entailment': 0.11030323058366776, 'neutral': 0.7926127910614014, 'contradiction': 0.09708403050899506}","{'entailment': 0.32556405663490295, 'neutral': 0.5956816673278809, 'contradiction': 0.07875422388315201}",,,neutral,neutral,neutral,,,1.0000,0.7926,0.5957,,,0.6941,0.0985,entailment,contradiction,0.1103,0.3256,0.0971,0.0788,0.2179,0.0879,0.1076,0.0092,0.1435,,,,,,
