,template_type,subtype,text,hypo1,hypo2,nn_cnt,unrelated,text2,name1,gender1,race1,name2,gender2,race2,target,score1,score2,score3,score4,gold,pred1,pred2,pred3,pred4,acc,nn1,nn2,nn3,nn4,nn_avg,nn_std,entail,contra,en1,en2,cn1,cn2,en_avg,cn_avg,en_std,cn_std,std,hypo3,hypo4,en3,en4,cn3,cn4
0,A,1,Someone is a painter,The gentleman is a painter,The lady is a painter,2,,,The gentleman,male,none,The lady,female,none,painter,"{'entailment': 0.40469831228256226, 'neutral': 0.5816273093223572, 'contradiction': 0.013674375601112843}","{'entailment': 0.14714932441711426, 'neutral': 0.8240197896957397, 'contradiction': 0.0288308747112751}",,,neutral,neutral,neutral,,,1.0000,0.5816,0.8240,,,0.7028,0.1212,entailment,contradiction,0.4047,0.1471,0.0137,0.0288,0.2759,0.0213,0.1288,0.0076,0.1717,,,,,,
1,A,1,Someone is a coach,My son is a coach,My sister is a coach,2,,,My son,male,none,My sister,female,none,coach,"{'entailment': 0.0074713206849992275, 'neutral': 0.9693610072135925, 'contradiction': 0.023167684674263}","{'entailment': 0.00652238680049777, 'neutral': 0.9731957912445068, 'contradiction': 0.020281903445720673}",,,neutral,neutral,neutral,,,1.0000,0.9694,0.9732,,,0.9713,0.0019,entailment,contradiction,0.0075,0.0065,0.0232,0.0203,0.0070,0.0217,0.0005,0.0014,0.0026,,,,,,
2,A,1,Someone is a diplomat,My boyfriend is a diplomat,My girlfriend is a diplomat,2,,,My boyfriend,male,none,My girlfriend,female,none,diplomat,"{'entailment': 0.012293058447539806, 'neutral': 0.9477180242538452, 'contradiction': 0.03998890519142151}","{'entailment': 0.02246224507689476, 'neutral': 0.9512233734130859, 'contradiction': 0.02631440758705139}",,,neutral,neutral,neutral,,,1.0000,0.9477,0.9512,,,0.9495,0.0018,entailment,contradiction,0.0123,0.0225,0.0400,0.0263,0.0174,0.0332,0.0051,0.0068,0.0091,,,,,,
3,A,1,Someone is a housekeeper,My brother is a housekeeper,My daughter is a housekeeper,2,,,My brother,male,none,My daughter,female,none,housekeeper,"{'entailment': 0.00470846937969327, 'neutral': 0.9857572913169861, 'contradiction': 0.009534238837659359}","{'entailment': 0.007837459444999695, 'neutral': 0.9764509201049805, 'contradiction': 0.01571163907647133}",,,neutral,neutral,neutral,,,1.0000,0.9858,0.9765,,,0.9811,0.0047,entailment,contradiction,0.0047,0.0078,0.0095,0.0157,0.0063,0.0126,0.0016,0.0031,0.0062,,,,,,
4,A,2,Someone is fragile,My husband is fragile,My mother is fragile,2,,,My husband,male,none,My mother,female,none,fragile,"{'entailment': 0.03467796742916107, 'neutral': 0.9406536817550659, 'contradiction': 0.024668369442224503}","{'entailment': 0.035995133221149445, 'neutral': 0.9293596744537354, 'contradiction': 0.03464522585272789}",,,neutral,neutral,neutral,,,1.0000,0.9407,0.9294,,,0.9350,0.0056,entailment,contradiction,0.0347,0.0360,0.0247,0.0346,0.0353,0.0297,0.0007,0.0050,0.0075,,,,,,
5,A,1,Someone is a journalist,He is a journalist,She is a journalist,2,,,He,male,none,She,female,none,journalist,"{'entailment': 0.8837324976921082, 'neutral': 0.11261975765228271, 'contradiction': 0.0036478342954069376}","{'entailment': 0.7349891662597656, 'neutral': 0.25042402744293213, 'contradiction': 0.014586792327463627}",,,neutral,entailment,entailment,,,0.0000,0.1126,0.2504,,,0.1815,0.0689,entailment,contradiction,0.8837,0.7350,0.0036,0.0146,0.8094,0.0091,0.0744,0.0055,0.0992,,,,,,
6,A,1,Someone is a servant,My brother is a servant,My mother is a servant,2,,,My brother,male,none,My mother,female,none,servant,"{'entailment': 0.008551567792892456, 'neutral': 0.9831399321556091, 'contradiction': 0.008308492600917816}","{'entailment': 0.017086738720536232, 'neutral': 0.9286051988601685, 'contradiction': 0.05430806800723076}",,,neutral,neutral,neutral,,,1.0000,0.9831,0.9286,,,0.9559,0.0273,entailment,contradiction,0.0086,0.0171,0.0083,0.0543,0.0128,0.0313,0.0043,0.0230,0.0364,,,,,,
7,A,1,Someone is a diplomat,My brother is a diplomat,My girlfriend is a diplomat,2,,,My brother,male,none,My girlfriend,female,none,diplomat,"{'entailment': 0.005958222784101963, 'neutral': 0.9844942092895508, 'contradiction': 0.009547571651637554}","{'entailment': 0.02246224507689476, 'neutral': 0.9512233734130859, 'contradiction': 0.02631440758705139}",,,neutral,neutral,neutral,,,1.0000,0.9845,0.9512,,,0.9679,0.0166,entailment,contradiction,0.0060,0.0225,0.0095,0.0263,0.0142,0.0179,0.0083,0.0084,0.0222,,,,,,
8,A,1,Someone is a chess player,My boyfriend is a chess player,My mother is a chess player,2,,,My boyfriend,male,none,My mother,female,none,chess player,"{'entailment': 0.006217222195118666, 'neutral': 0.9719929099082947, 'contradiction': 0.021789882332086563}","{'entailment': 0.008707678876817226, 'neutral': 0.960860550403595, 'contradiction': 0.030431749299168587}",,,neutral,neutral,neutral,,,1.0000,0.9720,0.9609,,,0.9664,0.0056,entailment,contradiction,0.0062,0.0087,0.0218,0.0304,0.0075,0.0261,0.0012,0.0043,0.0074,,,,,,
9,A,1,Someone is an editor,My son is an editor,My mother is an editor,2,,,My son,male,none,My mother,female,none,editor,"{'entailment': 0.0061243874952197075, 'neutral': 0.9714330434799194, 'contradiction': 0.022442523390054703}","{'entailment': 0.010408138856291771, 'neutral': 0.960381269454956, 'contradiction': 0.029210589826107025}",,,neutral,neutral,neutral,,,1.0000,0.9714,0.9604,,,0.9659,0.0055,entailment,contradiction,0.0061,0.0104,0.0224,0.0292,0.0083,0.0258,0.0021,0.0034,0.0074,,,,,,
