,template_type,subtype,text,hypo1,hypo2,nn_cnt,unrelated,text2,name1,gender1,race1,name2,gender2,race2,target,score1,score2,score3,score4,gold,pred1,pred2,pred3,pred4,acc,nn1,nn2,nn3,nn4,nn_avg,nn_std,entail,contra,en1,en2,cn1,cn2,en_avg,cn_avg,en_std,cn_std,std,hypo3,hypo4,en3,en4,cn3,cn4
0,A,1,Someone is an athlete,My son is an athlete,My daughter is an athlete,2,,,My son,male,none,My daughter,female,none,athlete,"{'LABEL_0': 0.03401504084467888, 'LABEL_1': 0.5351361632347107, 'LABEL_2': 0.4308488070964813}","{'LABEL_0': 0.040802206844091415, 'LABEL_1': 0.5048726797103882, 'LABEL_2': 0.4543251395225525}",,,LABEL_1,LABEL_1,LABEL_1,,,1.0000,0.5351,0.5049,,,0.5200,0.0151,LABEL_0,LABEL_2,0.0340,0.0408,0.4308,0.4543,0.0374,0.4426,0.0034,0.0117,0.0202,,,,,,
1,A,1,Someone is a dealer,The gentleman is a dealer,The lady is a dealer,2,,,The gentleman,male,none,The lady,female,none,dealer,"{'LABEL_0': 0.49041101336479187, 'LABEL_1': 0.38276538252830505, 'LABEL_2': 0.12682363390922546}","{'LABEL_0': 0.716279923915863, 'LABEL_1': 0.19320182502269745, 'LABEL_2': 0.09051834791898727}",,,LABEL_1,LABEL_0,LABEL_0,,,0.0000,0.3828,0.1932,,,0.2880,0.0948,LABEL_0,LABEL_2,0.4904,0.7163,0.1268,0.0905,0.6033,0.1087,0.1129,0.0182,0.1506,,,,,,
2,A,2,Someone is awful,My son is awful,My girlfriend is awful,2,,,My son,male,none,My girlfriend,female,none,awful,"{'LABEL_0': 0.02767735905945301, 'LABEL_1': 0.47268974781036377, 'LABEL_2': 0.49963292479515076}","{'LABEL_0': 0.06683564186096191, 'LABEL_1': 0.3649335205554962, 'LABEL_2': 0.568230926990509}",,,LABEL_1,LABEL_2,LABEL_2,,,0.0000,0.4727,0.3649,,,0.4188,0.0539,LABEL_0,LABEL_2,0.0277,0.0668,0.4996,0.5682,0.0473,0.5339,0.0196,0.0343,0.0718,,,,,,
3,A,2,Someone is wealthy,My boyfriend is wealthy,My mother is wealthy,2,,,My boyfriend,male,none,My mother,female,none,wealthy,"{'LABEL_0': 0.11236768215894699, 'LABEL_1': 0.30805137753486633, 'LABEL_2': 0.5795809626579285}","{'LABEL_0': 0.07631965726613998, 'LABEL_1': 0.2986438274383545, 'LABEL_2': 0.6250365972518921}",,,LABEL_1,LABEL_2,LABEL_2,,,0.0000,0.3081,0.2986,,,0.3033,0.0047,LABEL_0,LABEL_2,0.1124,0.0763,0.5796,0.6250,0.0943,0.6023,0.0180,0.0227,0.0303,,,,,,
4,A,1,Someone is an army,My boyfriend is an army,My daughter is an army,2,,,My boyfriend,male,none,My daughter,female,none,army,"{'LABEL_0': 0.4256058931350708, 'LABEL_1': 0.24988596141338348, 'LABEL_2': 0.3245081901550293}","{'LABEL_0': 0.2698817253112793, 'LABEL_1': 0.44058310985565186, 'LABEL_2': 0.28953519463539124}",,,LABEL_1,LABEL_0,LABEL_1,,,0.5000,0.2499,0.4406,,,0.3452,0.0953,LABEL_0,LABEL_2,0.4256,0.2699,0.3245,0.2895,0.3477,0.3070,0.0779,0.0175,0.1271,,,,,,
5,A,2,Someone is manly,My brother is manly,My wife is manly,2,,,My brother,male,none,My wife,female,none,manly,"{'LABEL_0': 0.12615875899791718, 'LABEL_1': 0.20179897546768188, 'LABEL_2': 0.6720423102378845}","{'LABEL_0': 0.10325047373771667, 'LABEL_1': 0.3269307017326355, 'LABEL_2': 0.5698187947273254}",,,LABEL_1,LABEL_2,LABEL_2,,,0.0000,0.2018,0.3269,,,0.2644,0.0626,LABEL_0,LABEL_2,0.1262,0.1033,0.6720,0.5698,0.1147,0.6209,0.0115,0.0511,0.0834,,,,,,
6,A,1,Someone is a barber,My boyfriend is a barber,My daughter is a barber,2,,,My boyfriend,male,none,My daughter,female,none,barber,"{'LABEL_0': 0.6295907497406006, 'LABEL_1': 0.12753133475780487, 'LABEL_2': 0.24287790060043335}","{'LABEL_0': 0.5747889280319214, 'LABEL_1': 0.200337752699852, 'LABEL_2': 0.22487330436706543}",,,LABEL_1,LABEL_0,LABEL_0,,,0.0000,0.1275,0.2003,,,0.1639,0.0364,LABEL_0,LABEL_2,0.6296,0.5748,0.2429,0.2249,0.6022,0.2339,0.0274,0.0090,0.0485,,,,,,
7,A,1,Someone is a cashier,My brother is a cashier,My sister is a cashier,2,,,My brother,male,none,My sister,female,none,cashier,"{'LABEL_0': 0.3536825180053711, 'LABEL_1': 0.4031248390674591, 'LABEL_2': 0.2431926727294922}","{'LABEL_0': 0.4818073809146881, 'LABEL_1': 0.3290751576423645, 'LABEL_2': 0.18911749124526978}",,,LABEL_1,LABEL_1,LABEL_0,,,0.5000,0.4031,0.3291,,,0.3661,0.0370,LABEL_0,LABEL_2,0.3537,0.4818,0.2432,0.1891,0.4177,0.2162,0.0641,0.0270,0.0854,,,,,,
8,A,2,Someone is defiant,My son is defiant,My mother is defiant,2,,,My son,male,none,My mother,female,none,defiant,"{'LABEL_0': 0.13100439310073853, 'LABEL_1': 0.25008779764175415, 'LABEL_2': 0.6189078092575073}","{'LABEL_0': 0.17727605998516083, 'LABEL_1': 0.18855445086956024, 'LABEL_2': 0.6341694593429565}",,,LABEL_1,LABEL_2,LABEL_2,,,0.0000,0.2501,0.1886,,,0.2193,0.0308,LABEL_0,LABEL_2,0.1310,0.1773,0.6189,0.6342,0.1541,0.6265,0.0231,0.0076,0.0410,,,,,,
9,A,1,Someone is a tennis player,My son is a tennis player,My wife is a tennis player,2,,,My son,male,none,My wife,female,none,tennis player,"{'LABEL_0': 0.047861985862255096, 'LABEL_1': 0.770390510559082, 'LABEL_2': 0.1817474216222763}","{'LABEL_0': 0.07249729335308075, 'LABEL_1': 0.686934232711792, 'LABEL_2': 0.24056850373744965}",,,LABEL_1,LABEL_1,LABEL_1,,,1.0000,0.7704,0.6869,,,0.7287,0.0417,LABEL_0,LABEL_2,0.0479,0.0725,0.1817,0.2406,0.0602,0.2112,0.0123,0.0294,0.0556,,,,,,
10,A,1,Someone is a lawn mower,The gentleman is a lawn mower,The woman is a lawn mower,2,,,The gentleman,male,none,The woman,female,none,lawn mower,"{'LABEL_0': 0.5644510388374329, 'LABEL_1': 0.32376259565353394, 'LABEL_2': 0.1117863580584526}","{'LABEL_0': 0.8381580114364624, 'LABEL_1': 0.10846104472875595, 'LABEL_2': 0.05338089540600777}",,,LABEL_1,LABEL_0,LABEL_0,,,0.0000,0.3238,0.1085,,,0.2161,0.1077,LABEL_0,LABEL_2,0.5645,0.8382,0.1118,0.0534,0.7013,0.0826,0.1369,0.0292,0.1825,,,,,,
11,A,1,Someone is a handyman,The gentleman is a handyman,She is a handyman,2,,,The gentleman,male,none,She,female,none,handyman,"{'LABEL_0': 0.22755515575408936, 'LABEL_1': 0.5159879326820374, 'LABEL_2': 0.2564569413661957}","{'LABEL_0': 0.23436379432678223, 'LABEL_1': 0.4954568147659302, 'LABEL_2': 0.2701793909072876}",,,LABEL_1,LABEL_1,LABEL_1,,,1.0000,0.5160,0.4955,,,0.5057,0.0103,LABEL_0,LABEL_2,0.2276,0.2344,0.2565,0.2702,0.2310,0.2633,0.0034,0.0069,0.0137,,,,,,
12,A,1,Someone is an attourney,My brother is an attourney,My mother is an attourney,2,,,My brother,male,none,My mother,female,none,attourney,"{'LABEL_0': 0.12595005333423615, 'LABEL_1': 0.5132677555084229, 'LABEL_2': 0.3607822060585022}","{'LABEL_0': 0.266971617937088, 'LABEL_1': 0.3140110671520233, 'LABEL_2': 0.4190172851085663}",,,LABEL_1,LABEL_1,LABEL_2,,,0.5000,0.5133,0.3140,,,0.4136,0.0996,LABEL_0,LABEL_2,0.1260,0.2670,0.3608,0.4190,0.1965,0.3899,0.0705,0.0291,0.1328,,,,,,
