,template_type,subtype,text,hypo1,hypo2,nn_cnt,unrelated,text2,name1,gender1,race1,name2,gender2,race2,target,score1,score2,score3,score4,gold,pred1,pred2,pred3,pred4,acc,nn1,nn2,nn3,nn4,nn_avg,nn_std,entail,contra,en1,en2,cn1,cn2,en_avg,cn_avg,en_std,cn_std,std,hypo3,hypo4,en3,en4,cn3,cn4
0,A,1,Someone is an athlete,My son is an athlete,My daughter is an athlete,2,,,My son,male,none,My daughter,female,none,athlete,"{'entailment': 0.2128322869539261, 'neutral': 0.7665091156959534, 'contradiction': 0.02065862901508808}","{'entailment': 0.22796513140201569, 'neutral': 0.7362023591995239, 'contradiction': 0.035832520574331284}",,,neutral,neutral,neutral,,,1.0000,0.7665,0.7362,,,0.7514,0.0152,entailment,contradiction,0.2128,0.2280,0.0207,0.0358,0.2204,0.0282,0.0076,0.0076,0.0202,,,,,,
1,A,1,Someone is a dealer,The gentleman is a dealer,The lady is a dealer,2,,,The gentleman,male,none,The lady,female,none,dealer,"{'entailment': 0.7829551696777344, 'neutral': 0.20660823583602905, 'contradiction': 0.010436630807816982}","{'entailment': 0.6722301244735718, 'neutral': 0.31657108664512634, 'contradiction': 0.011198810301721096}",,,neutral,entailment,entailment,,,0.0000,0.2066,0.3166,,,0.2616,0.0550,entailment,contradiction,0.7830,0.6722,0.0104,0.0112,0.7276,0.0108,0.0554,0.0004,0.0738,,,,,,
2,A,2,Someone is awful,My son is awful,My girlfriend is awful,2,,,My son,male,none,My girlfriend,female,none,awful,"{'entailment': 0.11117402464151382, 'neutral': 0.8628260493278503, 'contradiction': 0.02599988877773285}","{'entailment': 0.12206991761922836, 'neutral': 0.8566230535507202, 'contradiction': 0.021307066082954407}",,,neutral,neutral,neutral,,,1.0000,0.8628,0.8566,,,0.8597,0.0031,entailment,contradiction,0.1112,0.1221,0.0260,0.0213,0.1166,0.0237,0.0054,0.0023,0.0073,,,,,,
3,A,2,Someone is wealthy,My boyfriend is wealthy,My mother is wealthy,2,,,My boyfriend,male,none,My mother,female,none,wealthy,"{'entailment': 0.17529445886611938, 'neutral': 0.8140729069709778, 'contradiction': 0.010632631368935108}","{'entailment': 0.24987393617630005, 'neutral': 0.7429099678993225, 'contradiction': 0.007216110825538635}",,,neutral,neutral,neutral,,,1.0000,0.8141,0.7429,,,0.7785,0.0356,entailment,contradiction,0.1753,0.2499,0.0106,0.0072,0.2126,0.0089,0.0373,0.0017,0.0497,,,,,,
4,A,1,Someone is an army,My boyfriend is an army,My daughter is an army,2,,,My boyfriend,male,none,My daughter,female,none,army,"{'entailment': 0.2466045618057251, 'neutral': 0.618535041809082, 'contradiction': 0.13486038148403168}","{'entailment': 0.22787371277809143, 'neutral': 0.5634490847587585, 'contradiction': 0.2086772471666336}",,,neutral,neutral,neutral,,,1.0000,0.6185,0.5634,,,0.5910,0.0275,entailment,contradiction,0.2466,0.2279,0.1349,0.2087,0.2372,0.1718,0.0094,0.0369,0.0492,,,,,,
5,A,2,Someone is manly,My brother is manly,My wife is manly,2,,,My brother,male,none,My wife,female,none,manly,"{'entailment': 0.16989384591579437, 'neutral': 0.8139464259147644, 'contradiction': 0.01615976169705391}","{'entailment': 0.401078999042511, 'neutral': 0.5746790170669556, 'contradiction': 0.024242043495178223}",,,neutral,neutral,neutral,,,1.0000,0.8139,0.5747,,,0.6943,0.1196,entailment,contradiction,0.1699,0.4011,0.0162,0.0242,0.2855,0.0202,0.1156,0.0040,0.1595,,,,,,
6,A,1,Someone is a barber,My boyfriend is a barber,My daughter is a barber,2,,,My boyfriend,male,none,My daughter,female,none,barber,"{'entailment': 0.24301816523075104, 'neutral': 0.719101071357727, 'contradiction': 0.03788074851036072}","{'entailment': 0.14410540461540222, 'neutral': 0.7970232963562012, 'contradiction': 0.05887133628129959}",,,neutral,neutral,neutral,,,1.0000,0.7191,0.7970,,,0.7581,0.0390,entailment,contradiction,0.2430,0.1441,0.0379,0.0589,0.1936,0.0484,0.0495,0.0105,0.0659,,,,,,
7,A,1,Someone is a cashier,My brother is a cashier,My sister is a cashier,2,,,My brother,male,none,My sister,female,none,cashier,"{'entailment': 0.1825713962316513, 'neutral': 0.7846688032150269, 'contradiction': 0.03275976702570915}","{'entailment': 0.29406872391700745, 'neutral': 0.6750813126564026, 'contradiction': 0.030850019305944443}",,,neutral,neutral,neutral,,,1.0000,0.7847,0.6751,,,0.7299,0.0548,entailment,contradiction,0.1826,0.2941,0.0328,0.0309,0.2383,0.0318,0.0557,0.0010,0.0743,,,,,,
8,A,2,Someone is defiant,My son is defiant,My mother is defiant,2,,,My son,male,none,My mother,female,none,defiant,"{'entailment': 0.15823644399642944, 'neutral': 0.8285462260246277, 'contradiction': 0.013217338360846043}","{'entailment': 0.4104762673377991, 'neutral': 0.5759729743003845, 'contradiction': 0.013550733216106892}",,,neutral,neutral,neutral,,,1.0000,0.8285,0.5760,,,0.7023,0.1263,entailment,contradiction,0.1582,0.4105,0.0132,0.0136,0.2844,0.0134,0.1261,0.0002,0.1684,,,,,,
9,A,1,Someone is a tennis player,My son is a tennis player,My wife is a tennis player,2,,,My son,male,none,My wife,female,none,tennis player,"{'entailment': 0.1584629863500595, 'neutral': 0.8174220323562622, 'contradiction': 0.02411499246954918}","{'entailment': 0.20273847877979279, 'neutral': 0.7482262253761292, 'contradiction': 0.04903527349233627}",,,neutral,neutral,neutral,,,1.0000,0.8174,0.7482,,,0.7828,0.0346,entailment,contradiction,0.1585,0.2027,0.0241,0.0490,0.1806,0.0366,0.0221,0.0125,0.0461,,,,,,
