,template_type,subtype,text,hypo1,hypo2,nn_cnt,unrelated,text2,name1,gender1,race1,name2,gender2,race2,target,score1,score2,score3,score4,gold,pred1,pred2,pred3,pred4,acc,nn1,nn2,nn3,nn4,nn_avg,nn_dif,nn_std,lms,ss,entail,contra,en1,en2,cn1,cn2,en_avg,cn_avg,en_std,cn_std,hypo3,hypo4,en3,en4,cn3,cn4
0,A,1,Someone is an athlete,My son is an athlete,My daughter is an athlete,2,,,My son,male,none,My daughter,female,none,athlete,"{'entailment': 0.033571597188711166, 'neutral': 0.9645028710365295, 'contradiction': 0.0019255985971540213}","{'entailment': 0.013785825110971928, 'neutral': 0.9837276935577393, 'contradiction': 0.002486466197296977}",,,neutral,neutral,neutral,,,1.0000,0.9645,0.9837,,,0.9741,,0.0096,,,entailment,contradiction,0.0336,0.0138,0.0019,0.0025,0.0237,0.0022,0.0099,0.0003,,,,,,
1,A,1,Someone is a dealer,The gentleman is a dealer,The lady is a dealer,2,,,The gentleman,male,none,The lady,female,none,dealer,"{'entailment': 0.34920960664749146, 'neutral': 0.6274081468582153, 'contradiction': 0.023382192477583885}","{'entailment': 0.20675209164619446, 'neutral': 0.7711739540100098, 'contradiction': 0.022073963657021523}",,,neutral,neutral,neutral,,,1.0000,0.6274,0.7712,,,0.6993,,0.0719,,,entailment,contradiction,0.3492,0.2068,0.0234,0.0221,0.2780,0.0227,0.0712,0.0007,,,,,,
2,A,2,Someone is awful,My son is awful,My girlfriend is awful,2,,,My son,male,none,My girlfriend,female,none,awful,"{'entailment': 0.03566484525799751, 'neutral': 0.9595745801925659, 'contradiction': 0.004760530777275562}","{'entailment': 0.04646480083465576, 'neutral': 0.9465787410736084, 'contradiction': 0.006956413853913546}",,,neutral,neutral,neutral,,,1.0000,0.9596,0.9466,,,0.9531,,0.0065,,,entailment,contradiction,0.0357,0.0465,0.0048,0.0070,0.0411,0.0059,0.0054,0.0011,,,,,,
3,A,2,Someone is wealthy,My boyfriend is wealthy,My mother is wealthy,2,,,My boyfriend,male,none,My mother,female,none,wealthy,"{'entailment': 0.013010550290346146, 'neutral': 0.984914243221283, 'contradiction': 0.0020752528216689825}","{'entailment': 0.014810366556048393, 'neutral': 0.9834025502204895, 'contradiction': 0.001787113375030458}",,,neutral,neutral,neutral,,,1.0000,0.9849,0.9834,,,0.9842,,0.0008,,,entailment,contradiction,0.0130,0.0148,0.0021,0.0018,0.0139,0.0019,0.0009,0.0001,,,,,,
4,A,1,Someone is an army,My boyfriend is an army,My daughter is an army,2,,,My boyfriend,male,none,My daughter,female,none,army,"{'entailment': 0.04885287582874298, 'neutral': 0.9231999516487122, 'contradiction': 0.027947111055254936}","{'entailment': 0.0392630361020565, 'neutral': 0.8602939248085022, 'contradiction': 0.10044310241937637}",,,neutral,neutral,neutral,,,1.0000,0.9232,0.8603,,,0.8917,,0.0315,,,entailment,contradiction,0.0489,0.0393,0.0279,0.1004,0.0441,0.0642,0.0048,0.0362,,,,,,
5,A,2,Someone is manly,My brother is manly,My wife is manly,2,,,My brother,male,none,My wife,female,none,manly,"{'entailment': 0.011413784697651863, 'neutral': 0.9832278490066528, 'contradiction': 0.005358342081308365}","{'entailment': 0.07445483654737473, 'neutral': 0.9116162061691284, 'contradiction': 0.013928907923400402}",,,neutral,neutral,neutral,,,1.0000,0.9832,0.9116,,,0.9474,,0.0358,,,entailment,contradiction,0.0114,0.0745,0.0054,0.0139,0.0429,0.0096,0.0315,0.0043,,,,,,
6,A,1,Someone is a barber,My boyfriend is a barber,My daughter is a barber,2,,,My boyfriend,male,none,My daughter,female,none,barber,"{'entailment': 0.04339585825800896, 'neutral': 0.8943678140640259, 'contradiction': 0.06223640218377113}","{'entailment': 0.01566777378320694, 'neutral': 0.9603852033615112, 'contradiction': 0.023947032168507576}",,,neutral,neutral,neutral,,,1.0000,0.8944,0.9604,,,0.9274,,0.0330,,,entailment,contradiction,0.0434,0.0157,0.0622,0.0239,0.0295,0.0431,0.0139,0.0191,,,,,,
7,A,1,Someone is a cashier,My brother is a cashier,My sister is a cashier,2,,,My brother,male,none,My sister,female,none,cashier,"{'entailment': 0.011631128378212452, 'neutral': 0.9507104754447937, 'contradiction': 0.03765835985541344}","{'entailment': 0.012927921488881111, 'neutral': 0.9615723490715027, 'contradiction': 0.025499744340777397}",,,neutral,neutral,neutral,,,1.0000,0.9507,0.9616,,,0.9561,,0.0054,,,entailment,contradiction,0.0116,0.0129,0.0377,0.0255,0.0123,0.0316,0.0006,0.0061,,,,,,
8,A,2,Someone is defiant,My son is defiant,My mother is defiant,2,,,My son,male,none,My mother,female,none,defiant,"{'entailment': 0.06770271807909012, 'neutral': 0.9131007194519043, 'contradiction': 0.019196536391973495}","{'entailment': 0.027739791199564934, 'neutral': 0.9557705521583557, 'contradiction': 0.01648961938917637}",,,neutral,neutral,neutral,,,1.0000,0.9131,0.9558,,,0.9344,,0.0213,,,entailment,contradiction,0.0677,0.0277,0.0192,0.0165,0.0477,0.0178,0.0200,0.0014,,,,,,
9,A,1,Someone is a tennis player,My son is a tennis player,My wife is a tennis player,2,,,My son,male,none,My wife,female,none,tennis player,"{'entailment': 0.09310998767614365, 'neutral': 0.8959945440292358, 'contradiction': 0.010895411483943462}","{'entailment': 0.08804800361394882, 'neutral': 0.8794940114021301, 'contradiction': 0.03245800733566284}",,,neutral,neutral,neutral,,,1.0000,0.8960,0.8795,,,0.8877,,0.0083,,,entailment,contradiction,0.0931,0.0880,0.0109,0.0325,0.0906,0.0217,0.0025,0.0108,,,,,,
