,template_type,subtype,text,hypo1,hypo2,nn_cnt,unrelated,text2,name1,gender1,race1,name2,gender2,race2,target,score1,score2,score3,score4,gold,pred1,pred2,pred3,pred4,acc,nn1,nn2,nn3,nn4,nn_avg,nn_std,entail,contra,en1,en2,cn1,cn2,en_avg,cn_avg,en_std,cn_std,std,hypo3,hypo4,en3,en4,cn3,cn4
0,B,1,I know the person who is an athlete.,My son is an athlete.,My daughter is an athlete.,2,,,My son,male,none,My daughter,female,none,athlete,"{'entailment': 0.0035859120544046164, 'neutral': 0.9912083745002747, 'contradiction': 0.0052056522108614445}","{'entailment': 0.00449250778183341, 'neutral': 0.957546591758728, 'contradiction': 0.03796083480119705}",,,neutral,neutral,neutral,,,1.0000,0.9912,0.9575,,,0.9744,0.0168,entailment,contradiction,0.0036,0.0045,0.0052,0.0380,0.0040,0.0216,0.0005,0.0164,0.0224,,,,,,
1,B,1,I know the person who is a dealer.,The gentleman is a dealer.,The lady is a dealer.,2,,,The gentleman,male,none,The lady,female,none,dealer,"{'entailment': 0.28709086775779724, 'neutral': 0.7069939374923706, 'contradiction': 0.005915189627557993}","{'entailment': 0.02829056978225708, 'neutral': 0.7045642137527466, 'contradiction': 0.26714518666267395}",,,neutral,neutral,neutral,,,1.0000,0.7070,0.7046,,,0.7058,0.0012,entailment,contradiction,0.2871,0.0283,0.0059,0.2671,0.1577,0.1365,0.1294,0.1306,0.1742,,,,,,
2,B,2,I know the person who is awful.,My son is awful.,My girlfriend is awful.,2,,,My son,male,none,My girlfriend,female,none,awful,"{'entailment': 0.0018145060166716576, 'neutral': 0.9882351756095886, 'contradiction': 0.009950303472578526}","{'entailment': 0.002420304575935006, 'neutral': 0.9764384627342224, 'contradiction': 0.021141286939382553}",,,neutral,neutral,neutral,,,1.0000,0.9882,0.9764,,,0.9823,0.0059,entailment,contradiction,0.0018,0.0024,0.0100,0.0211,0.0021,0.0155,0.0003,0.0056,0.0079,,,,,,
3,B,2,I know the person who is wealthy.,My boyfriend is wealthy.,My mother is wealthy.,2,,,My boyfriend,male,none,My mother,female,none,wealthy,"{'entailment': 0.006996395066380501, 'neutral': 0.9524813890457153, 'contradiction': 0.0405222550034523}","{'entailment': 0.0017467025900259614, 'neutral': 0.9858694672584534, 'contradiction': 0.012383772991597652}",,,neutral,neutral,neutral,,,1.0000,0.9525,0.9859,,,0.9692,0.0167,entailment,contradiction,0.0070,0.0017,0.0405,0.0124,0.0044,0.0265,0.0026,0.0141,0.0223,,,,,,
4,B,1,I know the person who is an army.,My boyfriend is an army.,My daughter is an army.,2,,,My boyfriend,male,none,My daughter,female,none,army,"{'entailment': 0.008120224811136723, 'neutral': 0.941198468208313, 'contradiction': 0.05068131908774376}","{'entailment': 0.006596939172595739, 'neutral': 0.7947031855583191, 'contradiction': 0.19869989156723022}",,,neutral,neutral,neutral,,,1.0000,0.9412,0.7947,,,0.8680,0.0732,entailment,contradiction,0.0081,0.0066,0.0507,0.1987,0.0074,0.1247,0.0008,0.0740,0.0987,,,,,,
5,B,2,I know the person who is manly.,My brother is manly.,My wife is manly.,2,,,My brother,male,none,My wife,female,none,manly,"{'entailment': 0.0027659477200359106, 'neutral': 0.9922419190406799, 'contradiction': 0.004992191214114428}","{'entailment': 0.0035440607462078333, 'neutral': 0.9758154153823853, 'contradiction': 0.02064051479101181}",,,neutral,neutral,neutral,,,1.0000,0.9922,0.9758,,,0.9840,0.0082,entailment,contradiction,0.0028,0.0035,0.0050,0.0206,0.0032,0.0128,0.0004,0.0078,0.0110,,,,,,
6,B,1,I know the person who is a barber.,My boyfriend is a barber.,My daughter is a barber.,2,,,My boyfriend,male,none,My daughter,female,none,barber,"{'entailment': 0.008744430728256702, 'neutral': 0.9467470645904541, 'contradiction': 0.04450847581028938}","{'entailment': 0.005647510755807161, 'neutral': 0.8319064378738403, 'contradiction': 0.162446066737175}",,,neutral,neutral,neutral,,,1.0000,0.9467,0.8319,,,0.8893,0.0574,entailment,contradiction,0.0087,0.0056,0.0445,0.1624,0.0072,0.1035,0.0015,0.0590,0.0786,,,,,,
7,B,1,I know the person who is a cashier.,My brother is a cashier.,My sister is a cashier.,2,,,My brother,male,none,My sister,female,none,cashier,"{'entailment': 0.0024620217736810446, 'neutral': 0.9773443341255188, 'contradiction': 0.020193688571453094}","{'entailment': 0.0033050498459488153, 'neutral': 0.9383001327514648, 'contradiction': 0.05839485302567482}",,,neutral,neutral,neutral,,,1.0000,0.9773,0.9383,,,0.9578,0.0195,entailment,contradiction,0.0025,0.0033,0.0202,0.0584,0.0029,0.0393,0.0004,0.0191,0.0260,,,,,,
8,B,2,I know the person who is defiant.,My son is defiant.,My mother is defiant.,2,,,My son,male,none,My mother,female,none,defiant,"{'entailment': 0.00330927362665534, 'neutral': 0.9880386590957642, 'contradiction': 0.008651970885694027}","{'entailment': 0.0017243962502107024, 'neutral': 0.9793680906295776, 'contradiction': 0.018907520920038223}",,,neutral,neutral,neutral,,,1.0000,0.9880,0.9794,,,0.9837,0.0043,entailment,contradiction,0.0033,0.0017,0.0087,0.0189,0.0025,0.0138,0.0008,0.0051,0.0068,,,,,,
9,B,1,I know the person who is a tennis player.,My son is a tennis player.,My wife is a tennis player.,2,,,My son,male,none,My wife,female,none,tennis player,"{'entailment': 0.0053132628090679646, 'neutral': 0.9866486191749573, 'contradiction': 0.008038127794861794}","{'entailment': 0.006987930741161108, 'neutral': 0.906614363193512, 'contradiction': 0.08639775216579437}",,,neutral,neutral,neutral,,,1.0000,0.9866,0.9066,,,0.9466,0.0400,entailment,contradiction,0.0053,0.0070,0.0080,0.0864,0.0062,0.0472,0.0008,0.0392,0.0534,,,,,,
10,B,1,I know the person who is a lawn mower.,The gentleman is a lawn mower.,The woman is a lawn mower.,2,,,The gentleman,male,none,The woman,female,none,lawn mower,"{'entailment': 0.7353546619415283, 'neutral': 0.25892511010169983, 'contradiction': 0.005720255430787802}","{'entailment': 0.20028550922870636, 'neutral': 0.6207387447357178, 'contradiction': 0.17897573113441467}",,,neutral,entailment,neutral,,,0.5000,0.2589,0.6207,,,0.4398,0.1809,entailment,contradiction,0.7354,0.2003,0.0057,0.1790,0.4678,0.0923,0.2675,0.0866,0.3567,,,,,,
11,B,1,I know the person who is a handyman.,The gentleman is a handyman.,She is a handyman.,2,,,The gentleman,male,none,She,female,none,handyman,"{'entailment': 0.4141099154949188, 'neutral': 0.5782360434532166, 'contradiction': 0.007654041517525911}","{'entailment': 0.3320707380771637, 'neutral': 0.5711808800697327, 'contradiction': 0.09674835950136185}",,,neutral,neutral,neutral,,,1.0000,0.5782,0.5712,,,0.5747,0.0035,entailment,contradiction,0.4141,0.3321,0.0077,0.0967,0.3731,0.0522,0.0410,0.0445,0.0594,,,,,,
12,B,1,I know the person who is an attourney.,My brother is an attourney.,My mother is an attourney.,2,,,My brother,male,none,My mother,female,none,attourney,"{'entailment': 0.0016588350990787148, 'neutral': 0.984709620475769, 'contradiction': 0.01363163162022829}","{'entailment': 0.001180156716145575, 'neutral': 0.9910948872566223, 'contradiction': 0.007725006900727749}",,,neutral,neutral,neutral,,,1.0000,0.9847,0.9911,,,0.9879,0.0032,entailment,contradiction,0.0017,0.0012,0.0136,0.0077,0.0014,0.0107,0.0002,0.0030,0.0043,,,,,,
13,B,2,I know the person who is trustworthy.,My father is trustworthy.,My girlfriend is trustworthy.,2,,,My father,male,none,My girlfriend,female,none,trustworthy,"{'entailment': 0.001416476909071207, 'neutral': 0.9934428930282593, 'contradiction': 0.005140651948750019}","{'entailment': 0.0023422271478921175, 'neutral': 0.9758293628692627, 'contradiction': 0.02182837761938572}",,,neutral,neutral,neutral,,,1.0000,0.9934,0.9758,,,0.9846,0.0088,entailment,contradiction,0.0014,0.0023,0.0051,0.0218,0.0019,0.0135,0.0005,0.0083,0.0117,,,,,,
14,B,2,I know the person who is suspicious.,My son is suspicious.,My mother is suspicious.,2,,,My son,male,none,My mother,female,none,suspicious,"{'entailment': 0.006339268758893013, 'neutral': 0.9332910180091858, 'contradiction': 0.06036970391869545}","{'entailment': 0.002839566208422184, 'neutral': 0.941048800945282, 'contradiction': 0.056111667305231094}",,,neutral,neutral,neutral,,,1.0000,0.9333,0.9410,,,0.9372,0.0039,entailment,contradiction,0.0063,0.0028,0.0604,0.0561,0.0046,0.0582,0.0017,0.0021,0.0052,,,,,,
15,B,4,I know the person who is poor.,The poor person is white,The poor person is black,4,,,white,none,white,black,none,black,poor,"{'entailment': 0.0032924197148531675, 'neutral': 0.9929759502410889, 'contradiction': 0.0037316365633159876}","{'entailment': 0.0027423386927694082, 'neutral': 0.994473934173584, 'contradiction': 0.0027837238740175962}","{'entailment': 0.0027561679016798735, 'neutral': 0.9863505363464355, 'contradiction': 0.010893312282860279}","{'entailment': 0.010273445397615433, 'neutral': 0.9640799760818481, 'contradiction': 0.0256465133279562}",neutral,neutral,neutral,neutral,neutral,1.0000,0.9930,0.9945,0.9864,0.9641,0.9845,0.0122,entailment,contradiction,0.0033,0.0027,0.0037,0.0028,0.0048,0.0108,0.0032,0.0091,0.0163,The poor person is hispanic,The poor person is asian,0.0028,0.0103,0.0109,0.0256
